s1324-112,M000702
s1324-112,S000033
s1324-112,V000127
s1323-112,G000555
s1323-112,L000123
s1323-112,S000033
s1323-112,W000802
s1322-112,H000338
s1322-112,L000577
s1322-112,R000584
s1320-112,L000550
s1318-112,B001277
s1318-112,B000575
s1318-112,J000177
s1318-112,L000550
s1317-112,A000368
s1317-112,B000575
s1317-112,C000286
s1317-112,C000560
s1317-112,C000567
s1317-112,G000359
s1317-112,H001016
s1317-112,I000024
s1317-112,J000293
s1317-112,L000577
s1317-112,P000603
s1317-112,R000584
s1317-112,S001141
s1317-112,T000461
s1317-112,V000127
s1316-112,B001261
s1316-112,C000286
s1316-112,C000880
s1316-112,H000338
s1316-112,H001016
s1316-112,I000055
s1316-112,J000291
s1316-112,L000577
s1316-112,M000934
s1316-112,P000603
s1316-112,R000595
s1316-112,T000461
s1316-112,V000127
s1315-112,C000174
s1315-112,C001070
s1315-112,C001088
s1315-112,L000304
s1314-112,B000243
s1314-112,B001265
s1314-112,N000180
s1313-112,B001268
s1313-112,C000141
s1313-112,K000148
s1313-112,L000304
s1313-112,V000127
s1312-112,K000148
s1311-112,B001267
s1311-112,B000468
s1311-112,H001049
s1310-112,B001277
s1309-112,C000141
s1309-112,G000386
s1309-112,H000206
s1309-112,M001176
s1309-112,M000702
s1309-112,S000770
s1309-112,W000779
s1308-112,B001277
s1308-112,G000386
s1308-112,K000367
s1308-112,S001141
s1307-112,M001153
s1306-112,K000305
s1306-112,M001111
s1306-112,W000802
s1304-112,B001268
s1303-112,W000805
s1302-112,F000062
s1301-112,A000069
s1301-112,A000368
s1301-112,B001265
s1301-112,B001267
s1301-112,B000468
s1301-112,B001277
s1301-112,B000711
s1301-112,B001268
s1301-112,B000944
s1301-112,B001135
s1301-112,C000127
s1301-112,C000141
s1301-112,C001070
s1301-112,C000286
s1301-112,C000567
s1301-112,C001035
s1301-112,C000705
s1301-112,C001088
s1301-112,D000563
s1301-112,F000062
s1301-112,F000457
s1301-112,G000555
s1301-112,H001049
s1301-112,H000206
s1301-112,H001041
s1301-112,H001016
s1301-112,I000025
s1301-112,I000055
s1301-112,K000148
s1301-112,K000360
s1301-112,K000367
s1301-112,L000550
s1301-112,L000123
s1301-112,L000304
s1301-112,M001170
s1301-112,M000639
s1301-112,M001176
s1301-112,M000702
s1301-112,M001153
s1301-112,M001111
s1301-112,N000032
s1301-112,P000449
s1301-112,P000590
s1301-112,R000122
s1301-112,R000595
s1301-112,S000033
s1301-112,S000148
s1301-112,S001181
s1301-112,S000663
s1301-112,S000770
s1301-112,T000464
s1301-112,U000038
s1301-112,U000039
s1301-112,W000802
s1301-112,W000437
s1301-112,W000779
s1299-112,A000069
s1299-112,A000360
s1299-112,A000368
s1299-112,B001261
s1299-112,B000243
s1299-112,B001265
s1299-112,B001267
s1299-112,B001277
s1299-112,B000575
s1299-112,B001236
s1299-112,B000711
s1299-112,B001268
s1299-112,B000944
s1299-112,B001135
s1299-112,C000141
s1299-112,C000174
s1299-112,C000286
s1299-112,C000542
s1299-112,C000567
s1299-112,C001035
s1299-112,C000705
s1299-112,C001088
s1299-112,C001056
s1299-112,C000880
s1299-112,D000563
s1299-112,E000285
s1299-112,G000555
s1299-112,G000386
s1299-112,H001049
s1299-112,H000206
s1299-112,H001041
s1299-112,H001061
s1299-112,I000024
s1299-112,I000025
s1299-112,I000055
s1299-112,J000291
s1299-112,J000177
s1299-112,K000360
s1299-112,K000367
s1299-112,K000305
s1299-112,L000550
s1299-112,L000123
s1299-112,L000304
s1299-112,L000504
s1299-112,M001183
s1299-112,M001170
s1299-112,M000639
s1299-112,M001176
s1299-112,M000702
s1299-112,M001153
s1299-112,M001111
s1299-112,N000180
s1299-112,P000449
s1299-112,P000590
s1299-112,R000122
s1299-112,R000307
s1299-112,R000361
s1299-112,R000595
s1299-112,S000148
s1299-112,S001181
s1299-112,S000320
s1299-112,S000770
s1299-112,T000464
s1299-112,T000250
s1299-112,T000461
s1299-112,U000038
s1299-112,W000805
s1299-112,W000437
s1299-112,W000779
s1298-112,B001265
s1297-112,A000360
s1297-112,B000575
s1297-112,C000542
s1297-112,C000560
s1297-112,C000567
s1297-112,D000595
