C001049,MO,1,Wm._Lacy_Clay,M,D,2001,109135405838588,None,91,74,74,75,74
C001051,TX,31,John_R._Carter,M,R,2003,1287257083,JudgeCarter,89,77,75,73,75
C001053,OK,4,Tom_Cole,M,R,2003,146497782066300,TomColeOK04,90,85,74,73,80
C001059,CA,16,Jim_Costa,M,D,2005,RepJimCosta,RepJimCosta,83,74,74,73,74
C001061,MO,5,Emanuel_Cleaver,M,D,2005,7954512692,RepCleaver,91,73,74,75,74
C001062,TX,11,K._Michael_Conaway,M,R,2005,203482063021985,ConawayTX11,91,73,72,76,72
C001063,TX,28,Henry_Cuellar,M,D,2005,152569121550,RepCuellar,87,75,72,71,73
C001066,FL,14,Kathy_Castor,F,D,2007,181810465190906,USRepKCastor,93,73,73,77,73
C001067,NY,9,Yvette_D._Clarke,F,D,2007,135031389892682,YvetteClarke,92,77,74,84,78
C001068,TN,9,Steve_Cohen,M,D,2007,111456965545421,RepCohen,94,78,88,94,87
C001069,CT,2,Joe_Courtney,M,D,2007,330408799230,RepJoeCourtney,95,76,76,85,79
C001072,IN,7,André_Carson,M,D,2008,123884330964019,RepAndreCarson,96,73,77,85,77
C001076,UT,3,Jason_Chaffetz,M,R,2009,390419731073316,JasonInTheHouse,90,79,88,79,84
C001077,CO,6,Mike_Coffman,M,R,2009,366142384492,RepMikeCoffman,93,78,78,82,80
C001078,VA,11,Gerald_E._Connolly,M,D,2009,177164035838,GerryConnolly,94,76,86,98,87
C001080,CA,27,Judy_M._Chu,F,D,2009,41228315130,RepJudyChu,93,74,76,89,78
C001083,DE,0,John_C._Carney,M,D,2011,156024857781159,JohnCarneyde,89,74,83,73,78
C001084,RI,1,David_N._Cicilline,M,D,2011,186949061341027,RepCicilline,94,73,79,91,79
C001087,AR,1,Eric_A._Crawford,M,R,2011,143344975723788,RepRickCrawford,88,74,77,77,76
C001090,PA,17,Matthew_A._Cartwright,M,D,2013,248507065275406,RepCartwright,94,73,100,100,91
C001091,TX,20,Joaquin_Castro,M,D,2013,326420614138023,JoaquinCastrotx,92,73,73,70,72
C001092,NY,27,Chris_Collins,M,R,2013,467047586692268,RepChrisCollins,94,73,72,79,74
C001093,GA,9,Doug_Collins,M,R,2013,505646972800006,RepDougCollins,91,79,78,74,78
C001094,CA,8,Paul_Cook,M,R,2013,464458413604093,RepPaulCook,94,73,75,77,74
C001096,ND,0,Kevin_Cramer,M,R,2013,498751820147706,RepKevinCramer,89,76,72,83,76
C001097,CA,29,Tony_Cárdenas,M,D,2013,485493954794945,RepCardenas,89,73,79,84,78
C001101,MA,5,Katherine_M._Clark,F,D,2013,1408040802774787,RepKClark,91,73,71,78,73
C001102,FL,19,Curtis_Clawson,M,R,2014,none,RepCurtClawson,92,73,71,70,71
C001103,GA,1,Buddy_Carter,M,R,2015,none,RepBuddyCarter,96,73,72,69,71
C001105,VA,10,Barbara_Comstock,F,R,2015,none,RepComstock,93,73,71,70,71
C001106,PA,6,Ryan_Costello,M,R,2015,none,RepRyanCostello,91,73,72,71,72
C001107,FL,26,Carlos_Curbelo,M,R,2015,none,RepCurbelo,91,73,71,71,71
D000096,IL,7,Danny_K._Davis,M,D,1997,280757931935749,RepDannyDavis,89,74,72,72,73
D000191,OR,4,Peter_A._DeFazio,M,D,1987,94324364811,RepPeterDeFazio,91,73,72,69,71
D000197,CO,1,Diana_L._DeGette,F,D,1997,110757973488,RepDianaDeGette,93,73,72,70,71
D000216,CT,3,Rosa_L._DeLauro,F,D,1991,181302611907634,RosaDeLauro,95,74,75,70,73
D000399,TX,35,Lloyd_A._Doggett,M,D,1995,154050553704,RepLloydDoggett,94,73,71,69,71
D000482,PA,14,Michael_F._Doyle,M,D,1995,79663724861,USRepMikeDoyle,92,73,70,69,70
D000533,TN,2,John_J._Duncan,M,R,1988,102385999834718,RepJohnDuncanJr,88,73,70,69,70
D000598,CA,53,Susan_A._Davis,F,D,2001,103767526332478,RepSusanDavis,96,76,77,73,75
D000600,FL,25,Mario_Diaz-Balart,M,R,2003,119538428117878,MarioDB,86,74,70,71,71
D000604,PA,15,Charles_W._Dent,M,R,2005,69862092533,None,88,73,75,72,73
D000610,FL,21,Theodore_E._Deutch,M,D,2010,112179098816942,RepTedDeutch,93,73,79,82,77
D000612,CA,10,Jeff_Denham,M,R,2011,133714040028137,RepJeffDenham,92,76,79,73,77
D000613,IL,10,Bob_Dold,M,R,2011,131680867001,RepDold,82,73,80,70,75
D000614,WI,7,Sean_P._Duffy,M,R,2011,119657691436457,RepSeanDuffy,90,76,80,73,78
D000615,SC,3,Jeff_Duncan,M,R,2011,187268144624279,RepJeffDuncan,91,74,77,84,78
D000616,TN,4,Scott_DesJarlais,M,R,2011,ScottDesJarlaisTN04,DesJarlaisTN04,83,73,71,75,72
D000617,WA,1,Suzan_K._DelBene,F,D,2012,483962224987343,RepDelBene,92,73,75,77,74
D000619,IL,13,Rodney_Davis,M,R,2013,323631667743052,RodneyDavis,90,79,79,82,81
D000620,MD,6,John_K._Delaney,M,D,2013,324527257655694,RepJohnDelaney,90,76,75,79,76
D000621,FL,6,Ron_DeSantis,M,R,2013,464253846966014,RepDeSantis,94,79,75,75,77
D000622,IL,8,Tammy_Duckworth,F,D,2013,112300955610529,RepDuckworth,83,73,72,75,72
D000623,CA,11,Mark_DeSaulnier,M,D,2015,none,RepDeSaulnier,98,73,70,69,70
D000624,MI,12,Debbie_Dingell,F,D,2015,none,RepDebDingell,100,73,70,67,69
E000179,NY,16,Eliot_L._Engel,M,D,1989,103355984852,RepEliotEngel,91,74,73,69,72
E000215,CA,18,Anna_G._Eshoo,F,D,1993,174979964227,RepAnnaEshoo,94,73,71,70,71
E000288,MN,5,Keith_Maurice_Ellison,M,D,2007,7997462059,KeithEllison,90,73,84,92,82
