hr6729-112$$$To save at least $10,000,000,000 by consolidating some duplicative and overlapping Government programs.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6729$$$False$$$False$$$False$$$C001048$$$2013-01-01$$$2013-01-01
hr6728-112$$$To reauthorize the programs and activities of the Federal Emergency Management Agency, and for other purposes.$$$None$$$Disaster Recovery Reform Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6728$$$False$$$False$$$False$$$D000612$$$2013-01-01$$$2013-01-01
hr6727-112$$$To amend the Harmonized Tariff Schedule of the United States to modify temporarily certain rates of duty, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6727$$$False$$$False$$$False$$$C000071$$$2013-01-01$$$2013-01-01
hr6725-112$$$To provide for greater safety in the use of firearms.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6725$$$False$$$False$$$False$$$M000933$$$2012-12-31$$$2012-12-31
hr6724-112$$$To reform United States export control restrictions relating to commercially-available automotive products and technologies, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6724$$$False$$$False$$$False$$$K000376$$$2012-12-31$$$2012-12-31
hr6723-112$$$To provide for Inspector General oversight for Federal entities not otherwise subject to such oversight, and for other purposes.$$$None$$$Inspector General Improvement Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6723$$$False$$$False$$$False$$$E000172$$$2012-12-31$$$2012-12-31
hr6722-112$$$To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6722$$$False$$$False$$$False$$$B001256$$$2012-12-31$$$2012-12-31
hr6721-112$$$To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013 or 2014.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6721$$$False$$$False$$$False$$$F000451$$$2012-12-31$$$2012-12-31
hr6720-112$$$To provide that no pay adjustment for Members of Congress shall be made in fiscal year 2013 or 2014.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6720$$$False$$$False$$$False$$$F000461$$$2012-12-31$$$2012-12-31
hr6726-112$$$To prevent the 2013 pay adjustment for Members of Congress and persons holding other offices or positions in the Federal Government from being made.$$$None$$$Congressional Pay Freeze and Fiscal Responsibility Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6726$$$True$$$False$$$False$$$F000451$$$2013-01-01$$$2013-01-02
hr6719-112$$$To promote and expand the application of telehealth under Medicare and other Federal health care programs, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6719$$$False$$$False$$$False$$$T000460$$$2012-12-30$$$2013-01-02
hr6718-112$$$To reauthorize part C of the Individuals with Disabilities Education Act.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6718$$$False$$$False$$$False$$$R000581$$$2012-12-30$$$2012-12-30
