B001267,92.6,83,459,0.7,7,19,3.5,60.86,56.06,49.28,47.27,98.90,
B001268,64.9,36,190,0.3,6,9,4.0,45.91,49.45,44.26,47.99,99.53,
B001269,92.4,38,629,2.8,5,35,5.2,55.16,49.73,52.45,49.73,95.59,
B001270,95.9,31,702,9.6,5,43,5.9,46.95,48.74,53.81,50.75,84.88,
B001271,91.9,37,646,1.4,5,35,5.1,57.53,49.59,52.77,49.59,97.80,
B001272,93.4,6,140,2.4,5,12,8.2,42.19,45.22,43.32,54.08,96.22,
B001273,96.4,66,614,2.4,5,33,4.9,60.96,53.67,52.17,49.30,96.22,
B001274,92.5,16,553,0.7,5,28,4.9,51.19,46.63,51.03,49.30,98.90,
B001275,95.9,24,488,1.1,5,28,5.5,51.30,47.76,49.82,50.17,98.27,
B001276,95.4,15,161,2.2,5,20,11.4,47.78,46.49,43.72,58.71,96.54,
B001277,96.0,139,932,1.6,5,23,2.1,82.89,63.95,58.10,45.24,97.48,
B001278,96.8,28,599,0.6,4,16,2.6,63.40,50.29,57.48,45.97,99.06,
B001279,78.9,15,261,2.7,4,21,7.6,49.09,47.55,48.02,53.21,95.75,
B001280,92.9,13,242,0.5,3,13,5.1,47.89,47.13,47.49,49.59,99.21,
B001281,97.2,24,538,1.6,3,19,3.4,59.08,49.45,55.77,47.12,97.48,
B001282,95.9,28,386,0.6,3,15,3.6,55.77,50.29,51.52,47.41,99.06,
B001283,93.2,11,308,1.0,3,10,3.1,46.73,46.70,49.33,46.69,98.43,
B001284,95.9,13,346,0.9,3,21,5.8,51.98,47.13,50.40,50.60,98.58,
B001285,92.6,30,644,0.6,3,29,4.3,68.48,50.72,58.74,48.43,99.06,
B001286,89.5,19,455,1.3,3,25,5.3,57.20,48.39,53.45,49.88,97.95,
B001287,90.6,10,316,1.2,3,20,6.1,49.77,46.49,49.56,51.03,98.11,
B001288,96.6,34,256,0.7,3,8,2.8,50.80,51.56,47.88,46.25,98.90,
B001289,97.1,9,239,4.6,2,12,4.8,51.83,48.18,54.09,49.15,92.76,
B001290,91.9,8,106,1.4,2,4,3.5,44.85,47.76,46.65,47.27,97.80,
B001291,96.0,8,230,0.6,1,5,2.1,52.85,47.76,53.59,45.24,99.06,
B001292,97.2,8,243,3.4,1,5,2.0,49.50,47.76,54.32,45.10,94.65,
B001293,95.8,2,161,0.7,1,3,1.8,44.45,45.22,49.73,44.81,98.90,
B001294,92.1,7,146,2.1,1,3,2.0,44.44,47.34,48.89,45.10,96.69,
B001295,92.2,4,127,1.0,1,3,2.3,43.44,46.07,47.82,45.53,98.43,
B001296,96.2,5,158,6.3,1,1,0.6,37.75,46.49,49.56,43.07,90.08,
B001297,91.2,6,94,8.8,1,1,1.0,31.67,46.91,45.97,43.65,86.14,
C000059,93.7,33,545,1.2,23,49,8.5,59.13,49.03,50.88,54.51,98.11,
C000071,94.7,38,117,1.2,25,34,21.9,67.78,49.73,42.90,73.92,98.11,
C000127,94.9,81,372,0.3,23,11,2.4,56.97,55.78,47.65,45.68,99.53,
C000141,97.3,123,520,0.3,29,16,2.5,70.37,61.70,50.42,45.82,99.53,
C000174,91.6,79,247,0.4,33,22,6.7,59.16,55.50,45.32,51.90,99.37,
C000266,94.9,49,657,0.1,21,38,5.4,62.96,51.28,52.97,50.02,99.84,
C000286,90.0,9,391,5.9,21,13,3.2,38.36,45.65,48.01,46.83,90.71,
C000380,N/A,32,454,N/A,19,21,4.3,13.11,48.88,49.18,48.43,N/A,
C000537,94.0,12,169,4.5,23,16,8.8,41.92,46.07,43.87,54.95,92.91,
C000542,90.7,28,296,0.9,35,9,2.8,44.86,48.32,46.24,46.25,98.58,
C000556,93.7,33,518,13.6,31,36,6.5,39.32,49.03,50.38,51.61,78.58,
C000560,82.3,51,308,9.8,21,9,2.5,37.90,51.56,46.46,45.82,84.57,
C000567,85.3,27,428,2.2,43,12,2.6,45.72,48.18,48.70,45.97,96.54,
C000705,92.1,18,84,2.0,29,3,2.9,37.62,46.91,42.28,46.40,96.85,
C000714,93.6,94,1379,5.4,51,48,3.3,81.63,57.61,66.44,46.98,91.50,
C000754,84.2,22,341,1.0,33,25,6.9,49.19,47.48,47.08,52.19,98.43,
C000794,80.3,7,145,8.6,29,14,9.2,36.21,45.37,43.42,55.53,86.46,
C000880,87.9,51,517,1.1,23,13,2.3,53.22,51.56,50.36,45.53,98.27,
C000984,96.2,48,697,2.3,20,29,3.9,58.14,51.14,53.72,47.85,96.38,
C001035,67.3,92,664,0.0,19,26,3.4,69.62,57.33,53.10,47.12,100.00,
C001036,96.8,68,711,2.5,18,40,5.1,64.29,53.95,53.98,49.59,96.06,
C001037,94.5,49,690,3.9,17,27,3.7,55.29,51.28,53.59,47.56,93.86,
