M000639,NJ,S,Robert_Menéndez,M,D,1993,349744811357,SenatorMenendez,1,444,959,95
M000702,MD,S,Barbara_A._Mikulski,F,D,1977,142890125771427,SenatorBarb,1,68,810,93
M000934,KS,J,Jerry_Moran,M,R,1997,171578807105,JerryMoran,0,61,547,88
M001111,WA,S,Patty_Murray,F,D,1993,None,PattyMurray,0,179,889,94
M001153,AK,S,Lisa_A._Murkowski,F,R,2003,25271170290,LisaMurkowski,0,164,756,71
M001169,CT,J,Christopher_S._Murphy,M,D,2007,19437978960,ChrisMurphyCT,0,31,296,96
M001170,MO,S,Claire_McCaskill,F,D,2007,131498087618,McCaskillOffice,1,89,575,84
M001176,OR,J,Jeff_Merkley,M,D,2009,74374931545,SenJeffMerkley,1,106,985,95
M001183,WV,S,Joe_Manchin,M,D,2010,10150135395755161,Sen_JoeManchin,0,48,381,69
N000032,FL,S,Bill_Nelson,M,D,1979,None,SenBillNelson,0,161,654,93
P000449,OH,J,Robert_J._Portman,M,R,1993,45243961073,SenRobPortman,0,78,480,90
P000595,MI,J,Gary_C._Peters,M,D,2009,88851604323,RepGaryPeters,0,3,46,100
P000603,KY,J,Rand_Paul,M,R,2011,161355253917286,SenRandPaul,0,118,299,85
P000612,GA,J,David_Perdue,M,R,2015,none,sendavidperdue,0,0,43,97
R000122,RI,S,John_F._Reed,M,D,1991,213866375370646,SenJackReed,0,146,588,94
R000146,NV,S,Harry_M._Reid,M,D,1983,360249323990357,SenatorReid,0,279,354,87
R000307,KS,S,Pat_Roberts,M,R,1981,205694792808927,SenPatRoberts,0,95,779,88
R000584,ID,J,James_Risch,M,R,2009,None,SenatorRisch,0,21,766,91
R000595,FL,J,Marco_Rubio,M,R,2011,178910518800987,SenRubioPress,0,89,658,79
R000605,SD,J,Mike_Rounds,M,R,2015,none,SenatorRounds,0,0,32,96
S000033,VT,J,Bernard_Sanders,M,I,1991,9124187907,SenSanders,0,145,854,86
S000148,NY,S,Charles_E._Schumer,M,D,1981,15771239406,SenSchumer,2,384,1128,96
S000320,AL,S,Richard_C._Shelby,M,R,1979,50850514797,SenShelby,0,26,221,93
S000770,MI,S,Debbie_Ann_Stabenow,F,D,1997,None,SenStabenow,1,134,917,96
S001141,AL,J,Jefferson_B._Sessions,M,R,1997,23444159584,SenatorSessions,0,41,507,91
S001181,NH,S,Jeanne_Shaheen,F,D,2009,127503767282103,SenatorShaheen,0,132,887,92
S001184,SC,J,Tim_Scott,M,R,2011,163207553711385,SenatorTimScott,0,10,212,91
S001194,HI,S,Brian_Emanuel_Schatz,M,D,2012,357806137657533,SenBrianSchatz,0,33,398,94
S001197,NE,J,Benjamin_Eric_Sasse,M,R,2015,none,SenSasse,0,2,19,98
S001198,AK,J,Dan_Sullivan,M,R,2015,none,SenDanSullivan,0,1,33,97
T000250,SD,S,John_Thune,M,R,1997,None,SenJohnThune,0,94,718,94
T000461,PA,J,Patrick_J._Toomey,M,R,1999,189274047751251,SenToomey,0,84,383,92
T000464,MT,S,Jon_Tester,M,D,2007,210573031664,SenatorTester,0,173,825,87
T000476,NC,J,Thom_Tillis,M,R,2015,1576257352609470,senthomtillis,0,2,34,93
U000039,NM,S,Tom_S._Udall,M,D,1999,106433512869,SenatorTomUdall,0,120,672,95
V000127,LA,S,David_Vitter,M,R,1999,None,None,0,343,775,89
W000437,MS,J,Roger_F._Wicker,M,R,1995,SenatorWicker,SenatorWicker,0,65,824,89
W000779,OR,S,Ron_Wyden,M,D,1981,None,RonWyden,0,245,803,95
W000802,RI,J,Sheldon_Whitehouse,M,D,2007,194172833926853,SenWhitehouse,0,141,1152,94
W000805,VA,S,Mark_Warner,M,D,2009,7935122852,MarkWarner,0,78,513,87
W000817,MA,S,Elizabeth_Warren,F,D,2013,131559043673264,SenWarren,0,19,347,96
