s900-113$$$A bill to amend the Internal Revenue Code of 1986 to regulate payroll tax deposit agents, and for other purposes.$$$None$$$Small Business Payroll Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/900$$$False$$$False$$$False$$$M000702
s899-113$$$A bill to establish a position of Science Laureate of the United States.$$$None$$$Science Laureates of the United States Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/899$$$False$$$False$$$False$$$H001042
s898-113$$$A bill to authorize the Administrator of General Services to convey a parcel of real property in Albuquerque, New Mexico, to the Amy Biehl High School Foundation.$$$None$$$Albuquerque, New Mexico, Federal Land Conveyance Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/898$$$True$$$False$$$True$$$U000039
s897-113$$$A bill to prevent the doubling of the interest rate for Federal subsidized student loans for the 2013-2014 academic year by providing funds for such loans through the Federal Reserve System, to ensure that such loans are available at interest rates that are equivalent to the interest rates at which the Federal Government provides loans to banks through the discount window operated by the Federal Reserve System, and for other purposes.$$$None$$$Bank on Students Loan Fairness Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/897$$$False$$$False$$$False$$$W000817
s896-113$$$A bill to amend title II of the Social Security Act to repeal the Government pension offset and windfall elimination provisions.$$$None$$$Social Security Fairness Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/896$$$False$$$False$$$False$$$B001265
s895-113$$$A bill to improve the ability of the Food and Drug Administration to study the use of antimicrobial drugs in food-producing animals.$$$None$$$Antimicrobial Data Collection Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/895$$$False$$$False$$$False$$$G000555
s894-113$$$A bill to amend title 38, United States Code, to extend expiring authority for work-study allowances for individuals who are pursuing programs of rehabilitation, education, or training under laws administered by the Secretary of Veterans Affairs, to expand such authority to certain outreach services provided through congressional offices, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/894$$$True$$$False$$$False$$$S000033
s893-113$$$A bill to provide for an increase, effective December 1, 2013, in the rates of compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for the survivors of certain disabled veterans, and for other purposes.$$$None$$$Veterans' Compensation Cost-of-Living Adjustment Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/893$$$True$$$False$$$True$$$S000033
s892-113$$$A bill to amend the Iran Threat Reduction and Syria Human Rights Act of 2012 to impose sanctions with respect to certain transactions in foreign currencies, and for other purposes.$$$None$$$Iran Sanctions Loophole Elimination Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/892$$$True$$$False$$$False$$$K000360
s891-113$$$A bill to increase the employment of Americans by requiring State workforce agencies to certify that employers are actively recruiting Americans and that Americans are not qualified or available to fill the positions that the employer wants to fill with H-2B nonimmigrants.$$$None$$$American Jobs in American Forests Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/891$$$False$$$False$$$False$$$M001176
s890-113$$$A bill to clarify the definition of navigable waters, and for other purposes.$$$None$$$Defense of Environment and Property Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/890$$$False$$$False$$$False$$$P000603
s889-113$$$A bill to amend title 10, United States Code, to improve the Transition Assistance Program of the Department of Defense, and for other purposes.$$$None$$$Servicemembers' Choice in Transition Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/889$$$True$$$False$$$False$$$B001236
s888-113$$$A bill to provide end user exemptions from certain provisions of the Commodity Exchange Act and the Securities Exchange Act of 1934.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/888$$$False$$$False$$$False$$$J000291
s887-113$$$A bill to repeal the violation of sovereign nations' laws and privacy matters$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/887$$$False$$$False$$$False$$$P000603
s886-113$$$A bill to amend title 18, United States Code, to protect pain-capable unborn children in the District of Columbia, and for other purposes.$$$None$$$District of Columbia Pain-Capable Unborn Child Protection Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/886$$$False$$$False$$$False$$$L000577
s885-113$$$A bill to designate the facility of the United States Postal Service located at 35 Park Street in Danville, Vermont, as the "Thaddeus Stevens Post Office".$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/885$$$True$$$False$$$True$$$S000033
s884-113$$$A bill to require the Director of National Intelligence to develop a watch list and a priority watch list of foreign countries that engage in economic or industrial espionage in cyberspace with respect to United States trade secrets or proprietary information, and for other purposes.$$$None$$$Deter Cyber Theft Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/884$$$False$$$False$$$False$$$L000261
s883-113$$$A bill to reform and modernize domestic refugee resettlement programs, and for other purposes.$$$None$$$Domestic Refugee Resettlement Reform and Modernization Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/883$$$False$$$False$$$False$$$S000770
s882-113$$$A bill to amend the Workforce Investment Act of 1998 to integrate public libraries into State and local workforce investment boards, and for other purposes.$$$None$$$WILL Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/882$$$False$$$False$$$False$$$R000122
s881-113$$$A bill to amend the Internal Revenue Code of 1986 to provide an income tax credit for the costs of certain infertility treatments, and for other purposes.$$$None$$$Family Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/881$$$False$$$False$$$False$$$G000555
s880-113$$$A bill to amend title 23 and 49, United States Code, to modify provisions relating to the length and weight limitations for vehicles operating on Federal-aid highways, and for other purposes.$$$None$$$Safe Highways and Infrastructure Preservation Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/880$$$False$$$False$$$False$$$L000123
s879-113$$$A bill to support State and tribal government efforts to promote research and education related to maple syrup production, natural resource sustainability in the maple syrup industry, market production of maple products, and greater access to lands containing maple trees for maple-sugaring activities, and for other purposes.$$$None$$$Maple Tapping Access Program Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/879$$$False$$$False$$$False$$$S000148
s878-113$$$A bill to amend title 9 of the United States Code with respect to arbitration.$$$None$$$Arbitration Fairness Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/878$$$True$$$False$$$False$$$F000457
s877-113$$$A bill to require the Secretary of Veterans Affairs to allow public access to research of the Department, and for other purposes.$$$None$$$Veterans Affairs Research Transparency Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/877$$$True$$$False$$$False$$$B001265
s876-113$$$A bill to amend the Omnibus Crime Control and Safe Streets Act of 1968 to extend public safety officers' death benefits to fire police officers.$$$None$$$Fire Police Fairness Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/876$$$False$$$False$$$False$$$B001277
s875-113$$$A bill to amend title 38, United States Code, to require the reporting of cases of infectious diseases at facilities of the Veterans Health Administration, and for other purposes.$$$None$$$Department of Veterans Affairs Disease Reporting and Oversight Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/875$$$True$$$False$$$False$$$C001070
s874-113$$$A bill to prohibit universal service support of commercial mobile service through the Lifeline program.$$$None$$$Ending Mobile Phone Welfare Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/874$$$False$$$False$$$False$$$V000127
s873-113$$$A bill to amend title IV of the Social Security Act to require States to implement a drug testing program for applicants for and recipients of assistance under the Temporary Assistance for Needy Families (TANF) program.$$$None$$$Drug Free Families Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/873$$$False$$$False$$$False$$$V000127
s872-113$$$A bill to amend the Securities Exchange Act of 1934, to make the shareholder threshold for registration of savings and loan holding companies the same as for bank holding companies.$$$None$$$Holding Company Registration Threshold Equalization Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/872$$$False$$$False$$$False$$$T000461
s871-113$$$A bill to amend title 10, United States Code, to enhance assistance for victims of sexual assault committed by members of the Armed Forces, and for other purposes.$$$None$$$Combating Military Sexual Assault Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/871$$$True$$$False$$$False$$$M001111
s870-113$$$A bill to authorize the Secretary of Education to make grants to promote the education of pregnant and parenting students.$$$None$$$Pregnant and Parenting Students Access to Education Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/870$$$False$$$False$$$False$$$U000039
s869-113$$$A bill to establish the Alabama Black Belt National Heritage Area, and for other purposes.$$$None$$$Alabama Black Belt National Heritage Area Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/869$$$True$$$False$$$False$$$S000320
s868-113$$$A bill to require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.$$$None$$$Filipino Veterans Promise Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/868$$$True$$$False$$$False$$$H001041
s867-113$$$A bill to amend title XVIII of the Social Security Act to provide for pharmacy benefits manager standards under the Medicare prescription drug program, to establish basic audit standards of pharmacies, to further transparency of payment methodology to pharmacies, and to provide for recoupment returns to Medicare.$$$None$$$Medicare Prescription Drug Program Integrity and Transparency Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/867$$$False$$$False$$$False$$$P000590
s866-113$$$A bill to make improvements to the transitional program covered business method patents, and for other purposes.$$$None$$$Patent Quality Improvement Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/866$$$False$$$False$$$False$$$S000148
