hr4392-114$$$To amend title 5, United States Code, to require that the Office of Personnel Management submit an annual report to Congress relating to the use of official time by Federal employees.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4392$$$False$$$False$$$False$$$R000593$$$2016-01-13$$$2016-01-13
hr4391-114$$$To amend the Illegal Immigration and Immigrant Responsibility Act of 1996 to direct the Secretary of Homeland Security to complete the required 700-mile southwest border fencing by December 31, 2016, and for other purposes.$$$None$$$Finish the Fence Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4391$$$False$$$False$$$False$$$R000593$$$2016-01-13$$$2016-01-22
hr4390-114$$$To amend and reform the Johnson-O'Malley Act to award contracts to certain tribal organizations, Indian corporations, school districts, States, and consortia of tribal organizations, and for other purposes.$$$None$$$Johnson-O'Malley Supplemental Indian Education Program Modernization Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4390$$$False$$$False$$$False$$$M001143$$$2016-01-13$$$2016-01-13
hr4389-114$$$To amend the Mineral Leasing Act to ensure fair returns for Federal onshore oil and gas resources.$$$None$$$Ensuring the Taxpayer a Fair Return for Federal Onshore Oil and Gas Resources Act of 2015$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4389$$$False$$$False$$$False$$$L000579$$$2016-01-13$$$2016-01-19
hr4388-114$$$To amend the Public Health Service Act to authorize a primary and behavioral health care integration grant program.$$$None$$$Behavioral Health Care Integration Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4388$$$False$$$False$$$False$$$L000565$$$2016-01-13$$$2016-01-13
hr4387-114$$$To establish the Tule Lake National Historic Site in the State of California, and for other purposes.$$$None$$$Tule Lake National Historic Site Establishment Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4387$$$False$$$False$$$False$$$L000578$$$2016-01-13$$$2016-01-19
hr4386-114$$$To amend the Higher Education Act of 1965 to make certain improvements in the Federal Pell Grant Program, and for other purposes.$$$None$$$Pathways to an Affordable Education Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4386$$$False$$$False$$$False$$$K000381$$$2016-01-13$$$2016-01-13
hr4385-114$$$To amend the Higher Education Act to improve higher education programs, and for other purposes.$$$None$$$College for All Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4385$$$False$$$False$$$False$$$G000556$$$2016-01-13$$$2016-01-13
hr4384-114$$$To amend the Veterans Access, Choice, and Accountability Act of 2014 to preclude certain senior employees of the Veterans Health Administration from receiving bonuses when any employee of such Administration has not met certain wait-time goals.$$$None$$$Veterans Administration Bonus Elimination Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4384$$$False$$$False$$$False$$$G000570$$$2016-01-13$$$2016-01-13
hr4383-114$$$To require the Secretary of Homeland Security to enhance Department of Homeland Security coordination on how to identify and record information regarding individuals suspected or convicted of human trafficking, and for other purposes.$$$None$$$DHS Human Trafficking Prevention Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4383$$$True$$$False$$$False$$$S000030$$$2016-01-13$$$2016-02-03
hr4382-114$$$To amend the Federal Food Donation Act of 2008 to require certain Federal contractors to submit a report on food waste, and for other purposes.$$$None$$$Food Waste Accountability Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4382$$$False$$$False$$$False$$$M001166$$$2016-01-13$$$2016-01-13
hr4381-114$$$To amend the Internal Revenue Code of 1986 to allow members of the Ready Reserve of a reserve component of the Armed Forces to make elective deferrals on the basis of their service to the Ready Reserve and on the basis of their other employment.$$$None$$$Servicemember Retirement Improvement Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4381$$$False$$$False$$$False$$$J000174$$$2016-01-13$$$2016-01-13
hr4380-114$$$To amend the Immigration and Nationality Act to remove limitations on the ability of certain dual citizens from participating in the Visa Waiver Program, and for other purposes.$$$None$$$Equal Protection in Travel Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4380$$$False$$$False$$$False$$$A000367$$$2016-01-13$$$2016-02-03
hr4379-114$$$To prohibit the use of Federal funds to further restrict conduct in relation to firearms.$$$None$$$Defending Gun Rights Against Executive Overreach Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4379$$$False$$$False$$$False$$$G000546$$$2016-01-13$$$2016-02-03
hr4378-114$$$To amend the Public Health Service Act to provide grants for treatment of heroin, opioids, cocaine, methamphetamine, 3,4-methylenedioxymethamphet-amine (ecstasy), and phency-clidine (PCP) abuse, and for other purposes.$$$None$$$Access to Substance Abuse Treatment Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4378$$$False$$$False$$$False$$$C001090$$$2016-01-13$$$2016-01-13
hr4377-114$$$To amend the Internal Revenue Code of 1986 to tax business income on a cash flow basis, and for other purposes.$$$None$$$American Business Competitiveness Act of 2015$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4377$$$False$$$False$$$False$$$N000181$$$2016-01-13$$$2016-01-13
hr4376-114$$$To amend the Fair Labor Standards Act of 1938 to require certain disclosures be included on employee pay stubs, and for other purposes.$$$None$$$Pay Stub Disclosure Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4376$$$False$$$False$$$False$$$S000185$$$2016-01-13$$$2016-01-13
hr4375-114$$$To amend the Real ID Act of 2005 to repeal provisions requiring uniform State driver's licenses and State identification cards, and for other purposes.$$$None$$$Repeal ID Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4375$$$False$$$False$$$False$$$Z000018$$$2016-01-12$$$2016-02-03
hr4374-114$$$To amend the Public Health Service Act to improve mental and behavioral health services on college and university campuses.$$$None$$$Mental Health on Campus Improvement Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4374$$$False$$$False$$$False$$$S001145$$$2016-01-12$$$2016-01-12
hr4373-114$$$To improve the safety of individuals by taking measures to end drunk driving.$$$None$$$End Drunk Driving Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4373$$$False$$$False$$$False$$$R000602$$$2016-01-12$$$2016-01-13
hr4372-114$$$To designate the facility of the United States Postal Service located at 15 Rochester Street, Bergen, New York, as the Barry G. Miller Post Office.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4372$$$False$$$False$$$False$$$C001092$$$2016-01-12$$$2016-01-12
hr4371-114$$$To amend the Consolidated Appropriations Act, 2016, and for other purposes.$$$None$$$Article I Consolidated Appropriations Amendments, 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4371$$$False$$$False$$$False$$$B001297$$$2016-01-12$$$2016-01-19
hr4370-114$$$To comprehensively address the challenges of providing public services to citizens of the Freely Associated States in the United States, and for other purposes.$$$None$$$Compact Impact Relief Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4370$$$False$$$False$$$False$$$B001245$$$2016-01-12$$$2016-01-19
hr4369-114$$$To authorize the use of passenger facility charges at an airport previously associated with the airport at which the charges are collected.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4369$$$False$$$False$$$False$$$C000059$$$2016-01-12$$$2016-01-13
hr4368-114$$$To amend title XIX of the Social Security Act to clarify the treatment of lottery winnings and other lump sum income for purposes of income eligibility under the Medicaid program, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4368$$$False$$$False$$$False$$$P000373$$$2016-01-12$$$2016-01-12
hr4367-114$$$To amend title XIX of the Social Security Act to end the increased Federal funding for Medicaid expansion with respect to inmates.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4367$$$False$$$False$$$False$$$P000373$$$2016-01-12$$$2016-01-12
hr4366-114$$$To affirm an agreement between the United States and Westlands Water District dated September 15, 2015, and for other purposes.$$$None$$$San Luis Unit Drainage Resolution Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4366$$$False$$$False$$$False$$$V000129$$$2016-01-12$$$2016-01-19
hr4365-114$$$To amend the Controlled Substances Act with regard to the provision of emergency medical services.$$$None$$$Protecting Patient Access to Emergency Medications Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4365$$$False$$$False$$$False$$$H001067$$$2016-01-12$$$2016-02-03
hr4364-114$$$To amend title V of the Omnibus Crime Control and Safe Streets Act of 1968 to prohibit Edward Byrne Memorial Justice Assistance Grants from being made available to a State or unit of local government that has a contract with a person that charges a fee to pay-only probationers, and for other purposes.$$$None$$$End of Debtor's Prison Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4364$$$False$$$False$$$False$$$T000472$$$2016-01-11$$$2016-02-03
hr4363-114$$$To amend the Internal Revenue Code of 1986 to exclude from gross income amounts paid by an employer on an employee's student loans.$$$None$$$Student Tax Affordability and Relief Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4363$$$False$$$False$$$False$$$S001189$$$2016-01-11$$$2016-01-11
hr4362-114$$$To amend the Social Security Act to replace the Medicaid program and the Children's Health Insurance program with a block grant to the States, and for other purposes.$$$None$$$State Health Flexibility Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4362$$$False$$$False$$$False$$$R000592$$$2016-01-11$$$2016-01-19
hr4361-114$$$To amend section 3554 of title 44, United States Code, to provide for enhanced security of Federal information systems, and for other purposes.$$$None$$$Federal Information Systems Safeguards Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4361$$$False$$$False$$$False$$$P000609$$$2016-01-11$$$2016-01-11
hr4360-114$$$To amend title 5, United States Code, to provide that a Federal employee who leaves Government service while under personnel investigation shall have a notation of any adverse findings under such investigation placed in such employee's official personnel file, and for other purposes.$$$None$$$Official Personnel File Enhancement Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4360$$$True$$$False$$$False$$$C001076$$$2016-01-11$$$2016-01-12
hr4359-114$$$To amend title 5, United States Code, to provide that Federal employees may not be placed on administrative leave for more than 14 days during any year for misconduct or poor performance, and for other purposes.$$$None$$$Administrative Leave Reform Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4359$$$False$$$False$$$False$$$C001076$$$2016-01-11$$$2016-01-11
hr4358-114$$$To amend title 5, United States Code, to enhance accountability within the Senior Executive Service, and for other purposes.$$$None$$$Senior Executive Service Accountability Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4358$$$True$$$False$$$False$$$W000798$$$2016-01-08$$$2016-01-12
hr4357-114$$$To amend the Internal Revenue Code of 1986 to extend the waiver of required minimum distribution rules for certain retirement plans and accounts for 2016.$$$None$$$Volatility And Losses Undermining Earnings Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4357$$$False$$$False$$$False$$$S000244$$$2016-01-08$$$2016-01-08
hr4356-114$$$To ensure greater accountability by licensed firearms dealers.$$$None$$$Crackdown on Deadbeat Gun Dealers Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4356$$$False$$$False$$$False$$$L000559$$$2016-01-08$$$2016-02-03
hr4355-114$$$To amend the Omnibus Crime Control and Safe Streets Act of 1968 to impose certain additional requirements on applicants for COPS grants, and for other purposes.$$$None$$$Corey Jones Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4355$$$False$$$False$$$False$$$H000324$$$2016-01-08$$$2016-02-03
hr4354-114$$$To affirm the power of the President to revoke the Presidential Medal of Freedom awarded to Bill Cosby and to provide for criminal penalties for anyone who wears or publicly displays a Presidential Medal of Freedom that has been revoked.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4354$$$False$$$False$$$False$$$G000565$$$2016-01-08$$$2016-02-03
hr4353-114$$$To extend the exemption of small banks and savings associations from classification as a financial entity for purposes of the swaps clearing requirements of the Commodity Exchange Act to their holding companies.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4353$$$False$$$False$$$False$$$E000294$$$2016-01-08$$$2016-01-22
hr4352-114$$$To direct the Secretary of Veterans Affairs to carry out a pilot program establishing a patient self-scheduling appointment system, and for other purposes.$$$None$$$Faster Care for Veterans Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4352$$$False$$$False$$$False$$$M001196$$$2016-01-08$$$2016-01-12
hr4351-114$$$To protect individuals who are eligible for increased pension under laws administered by the Secretary of Veterans Affairs on the basis of need of regular aid and attendance from dishonest, predatory, or otherwise unlawful practices, and for other purposes.$$$None$$$Veterans Care Financial Protection Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4351$$$False$$$False$$$False$$$C001090$$$2016-01-08$$$2016-01-12
hr4350-114$$$To repeal the Cybersecurity Act of 2015.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4350$$$False$$$False$$$False$$$A000367$$$2016-01-08$$$2016-02-03
hr4349-114$$$To require the Secretary of Health and Human Services to establish an institution for mental diseases bed registry program.$$$None$$$Coordinating Crisis Care Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4349$$$False$$$False$$$False$$$T000469$$$2016-01-07$$$2016-01-07
hr4348-114$$$To require reciprocity between the District of Columbia and other States and jurisdictions with respect to the ability of individuals to carry certain concealed firearms, and for other purposes.$$$None$$$DC Personal Protection Reciprocity Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4348$$$False$$$False$$$False$$$S001183$$$2016-01-07$$$2016-01-07
hr4347-114$$$To amend the Fair Debt Collection Practices Act to extend the provisions of that Act to cover a debt collector who is collecting debt owed to a State or local government, to index award amounts under such Act for inflation, to provide for civil injunctive relief for violations of such Act, and for other purposes.$$$None$$$Debt Collection Practices Harmonization Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4347$$$False$$$False$$$False$$$M001137$$$2016-01-07$$$2016-01-07
hr4346-114$$$To require the Governor of each State that receives a grant under the Edward Byrne Memorial Justice Assistance Grant Program to certify to the Attorney General that under the laws of that State there is no statute of limitations for any offense under the laws of that State related to sexual assault, and for other purposes.$$$None$$$Justice for Victims of Sexual Assault Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4346$$$False$$$False$$$False$$$B001296$$$2016-01-07$$$2016-02-03
hr4345-114$$$To expand the eligibility of individuals from Micronesia, Marshall Islands, and Palau for participation in National Service Programs, and for other purposes.$$$None$$$National Community Service Improvement Act of 2015$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4345$$$False$$$False$$$False$$$B001245$$$2016-01-07$$$2016-01-07
hr4344-114$$$To require a report on the military dimensions of Iran's nuclear program and to prohibit the provision of sanctions relief to Iran until Iran has verifiably ended all military dimensions of its nuclear program, and for other purposes.$$$None$$$Ending Iran's Nuclear Weapon Program Before Sanctions Relief Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4344$$$False$$$False$$$False$$$P000602$$$2016-01-07$$$2016-01-07
hr4343-114$$$To amend titles 23 and 49, United States Code, with respect to bikeshare projects, and for other purposes.$$$None$$$Bikeshare Transit Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4343$$$False$$$False$$$False$$$B000574$$$2016-01-07$$$2016-01-08
hr4342-114$$$To impose sanctions on persons that transfer to or from Iran advanced conventional weapons or ballistic missiles, or technology, parts, components, or technical information related to advanced conventional weapons or ballistic missiles.$$$None$$$Iran Ballistic Missile Prevention and Sanctions Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4342$$$False$$$False$$$False$$$D000620$$$2016-01-07$$$2016-01-07
hr4341-114$$$To amend the Small Business Act to improve transparency and clarity for small businesses, to clarify the role of small business advocates, to increase opportunities for competition in subcontracting, and for other purposes.$$$None$$$Defending America's Small Contractors Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4341$$$True$$$False$$$False$$$C000266$$$2016-01-07$$$2016-01-13
hr4340-114$$$To require the Comptroller General of the United States to conduct a review of the Office of Government Contracting and Business Development of the Small Business Administration, and for other purposes.$$$None$$$SB CAPE Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4340$$$False$$$False$$$False$$$R000600$$$2016-01-07$$$2016-01-07
hr4339-114$$$To amend the Small Business Act to clarify the responsibilities of Business Opportunity Specialists, and for other purposes.$$$None$$$Improving Small Business Advocacy Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4339$$$False$$$False$$$False$$$W000187$$$2016-01-06$$$2016-01-06
hr4338-114$$$To provide that the authority to grant clemency for offenses against the District of Columbia shall be exercised in accordance with law enacted by the District of Columbia.$$$None$$$District of Columbia Home Rule Clemency Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4338$$$False$$$False$$$False$$$N000147$$$2016-01-06$$$2016-01-06
hr4337-114$$$To amend the Small Business Act to require the Administrator of the Small Business Administration to provide information on regulatory changes and regulatory compliance training materials to certain entities.$$$None$$$Education for Contracting Personnel Improvement Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4337$$$False$$$False$$$False$$$M001188$$$2016-01-06$$$2016-01-06
hr4336-114$$$To amend title 38, United States Code, to provide for the burial of the cremated remains of persons who served as Women's Air Forces Service Pilots in Arlington National Cemetery.$$$None$$$Women Airforce Service Pilot Arlington Inurnment Restoration Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4336$$$False$$$False$$$False$$$M001197$$$2016-01-06$$$2016-01-12
hr4335-114$$$To end the practice of including more than one subject in a single bill by requiring that each bill enacted by Congress be limited to only one subject, and for other purposes.$$$None$$$One Subject at a Time Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4335$$$False$$$False$$$False$$$L000584$$$2016-01-06$$$2016-02-03
hr4334-114$$$To authorize the Secretary of Veterans Affairs to carry out certain major medical facility projects for which appropriations are being made for fiscal year 2016.$$$None$$$Fiscal Year 2016 Department of Veterans Affairs Seismic Safety and Construction Authorization Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4334$$$False$$$False$$$False$$$L000582$$$2016-01-06$$$2016-01-12
hr4333-114$$$To authorize expedited consideration of sanctions in the event that the Government of Iran commits acts of terror or uses ballistic missile technology in violation of international law.$$$None$$$Zero Tolerance for Terror Act$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4333$$$False$$$False$$$False$$$K000379$$$2016-01-06$$$2016-01-06
hr4332-114$$$To amend the Small Business Act to clarify the duties of procurement center representatives with respect to reviewing solicitations for a contract or task order contract.$$$None$$$Maximizing Small Business Competition Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4332$$$False$$$False$$$False$$$K000388$$$2016-01-06$$$2016-01-06
hr4331-114$$$To amend the Small Business Act to ensure small business concerns receive assistance with post-award compliance with the requirements of a contract or subcontract, and for other purposes.$$$None$$$Small Business Easy Contract Compliance Enhancement and List Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4331$$$False$$$False$$$False$$$H001070$$$2016-01-06$$$2016-01-06
hr4330-114$$$To amend the Small Business Act to add reporting requirements for certain small business concerns, and for other purposes.$$$None$$$Improving Contract Procurement for Small Businesses through More Accurate Reporting Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4330$$$False$$$False$$$False$$$C001067$$$2016-01-06$$$2016-01-06
hr4329-114$$$To amend the Small Business Act to modify determinations of the total value of contract awards.$$$None$$$Transparency in Small Business Goaling Act of 2016$$$None$$$http://beta.congress.gov/bill/114th/house-bill/4329$$$False$$$False$$$False$$$C001080$$$2016-01-06$$$2016-01-06
