hr519-112,h28-2011,112,2011-02-09T19:04:00Z,passage,On Motion to Suspend the Rules and Pass,On Motion to Suspend the Rules and Pass,2/3,Failed,http://clerk.house.gov/evs/2011/roll028.xml,259_169_6_0,236_2_3_0,23_167_3_0,None
hres79-112,h29-2011,112,2011-02-10T20:11:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll029.xml,248_176_9_0,233_4_3_0,15_172_6_0,None
hres73-112,h30-2011,112,2011-02-10T20:19:00Z,other,On Ordering the Previous Question,On Ordering the Previous Question,1/2,Passed,http://clerk.house.gov/evs/2011/roll030.xml,240_180_13_0,234_0_6_0,6_180_7_0,None
hres73-112,h31-2011,112,2011-02-10T20:27:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll031.xml,255_169_9_0,237_0_3_0,18_169_6_0,None
hres72-112,h32-2011,112,2011-02-11T18:34:00Z,recommit,On Motion to Recommit with Instructions,On Motion to Recommit with Instructions,1/2,Failed,http://clerk.house.gov/evs/2011/roll032.xml,178_242_13_0,0_239_1_0,178_3_12_0,None
hres72-112,h33-2011,112,2011-02-11T18:51:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll033.xml,391_28_14_0,238_0_2_0,153_28_12_0,None
hr514-112,h35-2011,112,2011-02-14T23:55:00Z,recommit,On Motion to Recommit with Instructions,On Motion to Recommit with Instructions,1/2,Failed,http://clerk.house.gov/evs/2011/roll035.xml,186_234_13_0,2_234_4_0,184_0_9_0,None
hr514-112,h36-2011,112,2011-02-15T00:03:00Z,passage,On Passage,On Passage,1/2,Passed,http://clerk.house.gov/evs/2011/roll036.xml,275_144_14_0,210_27_3_0,65_117_11_0,None
hres92-112,h38-2011,112,2011-02-15T18:55:00Z,other,On Ordering the Previous Question,On Ordering the Previous Question,1/2,Passed,http://clerk.house.gov/evs/2011/roll038.xml,240_179_14_0,238_0_2_0,2_179_12_0,None
hres92-112,h39-2011,112,2011-02-15T19:06:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll039.xml,242_174_15_2,234_0_4_2,8_174_11_0,None
hconres17-112,h40-2011,112,2011-02-15T19:13:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll040.xml,243_176_14_0,235_3_2_0,8_173_12_0,None
hr1-112,h41-2011,112,2011-02-16T00:08:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll041.xml,207_223_3_0,92_148_0_0,115_75_3_0,None
hr1-112,h42-2011,112,2011-02-16T00:13:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll042.xml,72_358_3_0,71_169_0_0,1_189_3_0,None
hr1-112,h43-2011,112,2011-02-16T00:18:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll043.xml,105_326_2_0,17_223_0_0,88_103_2_0,None
hr1-112,h44-2011,112,2011-02-16T00:24:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll044.xml,109_320_4_0,104_135_1_0,5_185_3_0,None
hres93-112,h45-2011,112,2011-02-16T18:29:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll045.xml,254_176_3_0,236_4_0_0,18_172_3_0,None
hr1-112,h46-2011,112,2011-02-16T18:49:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll046.xml,233_198_1_1,110_130_0_0,123_68_1_1,None
hr1-112,h47-2011,112,2011-02-16T18:53:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll047.xml,135_294_4_0,36_202_2_0,99_92_2_0,None
hr1-112,h48-2011,112,2011-02-16T18:58:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll048.xml,133_299_1_0,16_224_0_0,117_75_1_0,None
hr1-112,h49-2011,112,2011-02-16T19:02:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll049.xml,136_296_1_0,9_231_0_0,127_65_1_0,None
hr1-112,h50-2011,112,2011-02-16T19:07:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll050.xml,305_127_1_0,145_95_0_0,160_32_1_0,None
hr1-112,h51-2011,112,2011-02-16T19:10:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll051.xml,262_169_2_0,217_22_1_0,45_147_1_0,None
hr1-112,h52-2011,112,2011-02-16T19:13:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll052.xml,184_247_2_0,157_82_1_0,27_165_1_0,None
hr1-112,h53-2011,112,2011-02-16T19:18:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll053.xml,228_203_2_0,70_169_1_0,158_34_1_0,None
hr1-112,h54-2011,112,2011-02-16T19:22:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll054.xml,171_259_3_0,170_68_2_0,1_191_1_0,None
hr1-112,h55-2011,112,2011-02-16T19:24:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll055.xml,170_262_1_0,165_75_0_0,5_187_1_0,None
hr1-112,h56-2011,112,2011-02-16T19:28:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll056.xml,159_273_1_0,13_227_0_0,146_46_1_0,None
hr1-112,h57-2011,112,2011-02-16T19:31:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll057.xml,208_223_2_0,23_217_0_0,185_6_2_0,None
hr1-112,h58-2011,112,2011-02-16T19:34:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll058.xml,137_293_3_0,135_103_2_0,2_190_1_0,None
hr1-112,h59-2011,112,2011-02-16T19:38:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll059.xml,130_301_2_0,44_196_0_0,86_105_2_0,None
hr1-112,h60-2011,112,2011-02-16T19:42:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll060.xml,318_113_2_0,132_107_1_0,186_6_1_0,None
hr1-112,h61-2011,112,2011-02-17T00:02:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll061.xml,213_216_4_0,207_32_1_0,6_184_3_0,None
hr1-112,h62-2011,112,2011-02-17T00:06:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll062.xml,73_352_6_2,16_220_2_2,57_132_4_0,None
hr1-112,h63-2011,112,2011-02-17T00:11:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll063.xml,199_230_4_0,190_48_2_0,9_182_2_0,None
hr1-112,h64-2011,112,2011-02-17T00:14:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll064.xml,239_185_9_0,228_9_3_0,11_176_6_0,None
hr1-112,h65-2011,112,2011-02-17T00:19:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll065.xml,228_203_2_0,219_21_0_0,9_182_2_0,None
hr514-112,h66-2011,112,2011-02-17T15:10:00Z,passage,On Motion to Concur in the Senate Amendment,On Motion to Concur in the Senate Amendment,1/2,Passed,http://clerk.house.gov/evs/2011/roll066.xml,279_143_11_0,211_26_3_0,68_117_8_0,None
