A000022,45.3655627917,44.7617310281,84.8822652633,54.511302899,35.77,
A000055,47.0548674222,45.6387546497,94.0158966667,55.9598206108,46.62,
A000069,48.8849474386,44.1086283312,96.8504719298,48.2826767383,43.32,
A000210,49.1664982104,48.1392049751,95.2757078948,49.8760462213,48.19,
A000358,45.7878889493,43.8100670983,66.7724788599,50.455453306,18.53,
A000360,51.841230542,46.6650588878,94.3308494737,48.4275285095,47.74,
A000361,46.0694397211,44.1459484853,95.7481371053,55.5252652973,44.80,
A000362,46.6325412646,44.388529487,99.055141579,51.7591192466,45.36,
A000365,44.6616858623,43.9220275607,92.4411326316,52.1936745602,37.97,
A000366,45.2247874058,42.9703636308,100.0,59.291411348,48.54,
A000367,46.4917658787,43.7354267901,100.0,46.2547519418,41.04,
A000368,54.2344121019,51.4420386139,99.5275707895,47.1238625688,61.86,
A000369,50.1519259115,51.7592599238,89.134128158,47.8481214247,47.24,
A000370,48.1810705092,47.8219836652,84.0948832457,44.3716789164,34.19,
A000371,45.6471135635,48.2138452834,91.8112270176,45.3856413147,38.33,
A000372,45.2247874058,49.3894301378,99.370094386,44.9510860011,44.53,
A000373,45.2247874058,52.3563823896,98.4252359649,46.9790107977,48.69,
A000374,48.6033966669,50.117173143,99.5275707895,43.7922718317,48.41,
B000013,46.0694397211,48.7363274409,94.9607550878,53.642192272,47.96,
B000208,45.5063381776,45.7880352662,95.7481371053,48.862083823,41.01,
B000213,46.9140920364,47.4487821241,92.4411326316,57.1186347803,48.18,
B000220,45.6471135635,42.4665415504,96.5355191228,61.8987432292,47.81,
B000243,56.2052675041,43.3808853261,99.685047193,45.3856413147,50.95,
B000287,45.5063381776,44.6870907199,93.8584202632,62.4781503139,48.58,
B000410,46.9140920364,44.6311104888,90.078986579,56.8289312379,43.02,
B000461,47.8995197375,44.6870907199,93.7009438597,53.7870440431,44.63,
B000468,51.9820059279,42.7464427062,98.7401887719,46.6893072553,45.49,
B000490,49.0257228245,50.5463549152,93.0710382457,51.7591192466,50.68,
B000574,55.3606151889,64.8026537854,92.4411326316,45.8201966282,75.46,
B000575,52.2635566996,52.9535048554,96.5355191228,48.5723802806,59.59,
B000589,44.8024612482,40.7684745383,100.0,42.1989023487,32.75,
B000652,46.3509904928,46.4784581172,98.4252359649,47.9929731959,44.10,
B000711,65.6372183578,52.4310226978,90.2364629825,46.1099001706,70.30,
B000755,51.2781289985,47.7846635111,93.5434674562,56.3943759244,55.10,
B000911,47.1956428081,55.7898365678,91.6537506141,49.5863426789,52.24,
B000944,73.8021907386,53.6625877835,98.2677595614,46.2547519418,93.00,
B001135,54.6567382595,48.9789084426,97.0079483334,48.7172320518,57.80,
B001149,50.4334766832,47.3928018929,83.6224540352,47.5584178824,38.28,
B001227,45.9286643352,52.4123626208,96.0630899123,50.3106015348,50.37,
B001228,45.9286643352,42.5598419356,92.4411326316,65.9545928223,48.20,
B001230,52.6858828572,52.0951413108,96.5355191228,45.675344857,55.97,
B001231,46.210215107,45.7693751891,97.1654247369,49.2966391365,43.17,
B001232,48.7441720527,43.3808853261,98.7401887719,55.5252652973,49.20,
B001234,49.588824368,45.1909128004,88.0317933334,53.2076369584,42.40,
B001236,49.8703751397,50.9755366875,96.6929955263,46.3996037129,50.86,
B001242,50.0111505256,51.479358768,96.0630899123,52.7730816449,57.69,
B001243,54.3751874878,57.0587218075,97.3229011404,47.5584178824,68.86,
B001244,49.1664982104,44.5937903346,93.0710382457,52.3385263313,44.39,
B001245,47.8995197375,54.7821924068,N/A,49.4414909077,20.56,
B001248,57.0499198194,51.0315169187,97.7953303509,53.0627851872,69.83,
B001250,48.7441720527,51.4233785368,91.9687034211,47.7032696536,47.30,
B001251,48.6033966669,51.124817304,91.1813214036,49.2966391365,47.41,
B001252,48.1810705092,46.6090786566,99.8425235965,52.3385263313,50.86,
B001254,46.0694397211,45.5081341103,91.8112270176,50.7451568483,39.78,
B001255,54.5159628736,51.4047184598,98.1102831579,51.6142674754,65.37,
B001256,47.4771935799,48.1765251292,68.0322900879,49.0069355942,25.21,
B001257,53.5305351725,50.1731533741,96.5355191228,53.3524887296,62.15,
B001259,53.1082090149,49.445410369,93.5434674562,49.5863426789,53.50,
B001260,48.3218458951,48.0459045899,94.8032786842,55.6701170685,51.53,
B001261,54.7975136454,48.419106131,98.1102831579,45.2407895435,54.74,
B001262,48.462621281,49.7066514478,93.8584202632,47.26871434,46.14,
B001265,63.8071383414,53.6066075523,96.0630899123,45.8201966282,74.95,
B001267,56.0644921183,49.2774696755,98.8976651754,47.26871434,60.86,
B001268,49.4480489821,44.2579089477,99.5275707895,47.9929731959,45.91,
B001269,49.7295997539,52.4496827749,95.5906607018,49.7311944501,55.16,
B001270,48.7441720527,53.8118683999,84.8822652633,50.7451568483,46.95,
B001271,49.588824368,52.7669040848,97.7953303509,49.5863426789,57.53,
B001272,45.2247874058,43.3249050949,96.2205663158,54.0767475855,42.19,
B001273,53.6713105584,52.1697816191,96.2205663158,49.2966391365,60.96,
B001274,46.6325412646,51.0315169187,98.8976651754,49.2966391365,51.19,
B001275,47.7587443516,49.8186119101,98.2677595614,50.1657497636,51.30,
B001276,46.4917658787,43.716766713,96.5355191228,58.7120042633,47.78,
B001277,63.9479137273,58.1036861226,97.4803775439,45.2407895435,82.89,
B001278,50.2927012974,57.4785735413,99.055141579,45.9650483994,63.40,
B001279,47.5475812728,48.0179144743,95.7481371053,53.2076369584,49.09,
B001280,47.1252551152,47.4861022782,99.2126179825,49.5863426789,47.89,
B001281,49.4480489821,55.7711764907,97.4803775439,47.1238625688,59.08,
B001282,50.2927012974,51.5166789221,99.055141579,47.4135661112,55.77,
B001283,46.7029289575,49.3334499067,98.4252359649,46.6893072553,46.73,
B001284,47.1252551152,50.3970742988,98.5827123684,50.6003050772,51.98,
B001285,50.715027455,58.7381287425,99.055141579,48.4275285095,68.48,
B001286,48.392233588,53.4479968973,97.9528067544,49.8760462213,57.20,
B001287,46.4917658787,49.5573708313,98.1102831579,51.0348603907,49.77,
B001288,51.5596797702,47.8779638964,98.8976651754,46.2547519418,50.80,
B001289,48.1810705092,54.0917695557,92.7560854386,49.1517873654,51.83,
B001290,47.7587443516,46.6463988107,97.7953303509,47.26871434,44.85,
B001291,47.7587443516,53.5879474752,99.055141579,45.2407895435,52.85,
B001292,47.7587443516,54.3156904804,94.6458022807,45.0959377723,49.50,
B001293,45.2247874058,49.7253115248,98.8976651754,44.80623423,44.45,
B001294,47.336418194,48.8856080573,96.6929955263,45.0959377723,44.44,
B001295,46.0694397211,47.8219836652,98.4252359649,45.5304930859,43.44,
B001296,46.4917658787,49.5573708313,90.078986579,43.0680129758,37.75,
B001297,46.9140920364,45.9746360367,86.1420764913,43.6474200605,31.67,
C000059,49.0257228245,50.8822363022,98.1102831579,54.511302899,59.13,
C000071,49.7295997539,42.8957233226,98.1102831579,73.9214402372,67.78,
C000127,55.7829413465,47.6540429717,99.5275707895,45.675344857,56.97,
C000141,61.6955075533,50.4157343759,99.5275707895,45.8201966282,70.37,
C000174,55.5013905748,45.3215333398,99.370094386,51.9039710178,59.16,
