Hoyer,Steny,MD,5
Huelskamp,Tim,KS,1
Huizenga,Bill,MI,2
Hultgren,Randy,IL,14
Hunter,Duncan,CA,52
Hurt,Robert,VA,5
Israel,Steve,NY,2
Issa,Darrell,CA,49
Jackson,Jesse,IL,2
Jackson,Sheila,TX,18
Jenkins,Lynn,KS,2
Johnson,Bill,OH,6
Johnson,Eddie,TX,30
Johnson,Henry,GA,4
Johnson,Sam,TX,3
Johnson,Timothy,IL,15
Jones,Walter,NC,3
Jordan,Jim,OH,4
Kaptur,Marcy,OH,9
Keating,William,MA,10
Kelly,Mike,PA,3
Kildee,Dale,MI,5
Kind,Ron,WI,3
King,Peter,NY,3
King,Steve,IA,5
Kingston,Jack,GA,1
Kinzinger,Adam,IL,11
Kissell,Larry,NC,8
Kline,John,MN,2
Kucinich,Dennis,OH,10
Labrador,Raul,ID,1
Lamborn,Doug,CO,5
Lance,Leonard,NJ,7
Landry,Jeff,LA,3
Langevin,James,RI,2
Lankford,James,OK,5
Larsen,Rick,WA,2
Larson,John,CT,1
Latham,Tom,IA,4
LaTourette,Steven,OH,14
Latta,Robert,OH,5
Lee,Barbara,CA,9
Levin,Sander,MI,12
Lewis,Jerry,CA,41
Lewis,John,GA,5
Lipinski,Daniel,IL,3
LoBiondo,Frank,NJ,2
Loebsack,David,IA,2
Lofgren,Zoe,CA,16
Long,Billy,MO,7
Lowey,Nita,NY,18
Lucas,Frank,OK,3
Luetkemeyer,Blaine,MO,9
Lujan,Ben,NM,3
Lummis,Cynthia,WY,0
Lungren,Daniel,CA,3
Lynch,Stephen,MA,9
Mack,Connie,FL,14
Maloney,Carolyn,NY,14
Manzullo,Donald,IL,16
Marchant,Kenny,TX,24
Marino,Tom,PA,10
Markey,Edward,MA,7
Massie,Thomas,KY,4
Matheson,Jim,UT,2
Matsui,Doris,CA,5
McCarthy,Carolyn,NY,4
McCarthy,Kevin,CA,22
McCaul,Michael,TX,10
McClintock,Tom,CA,4
McCollum,Betty,MN,4
McDermott,Jim,WA,7
McGovern,James,MA,3
McHenry,Patrick,NC,10
McIntyre,Mike,NC,7
McKeon,Howard,CA,25
McKinley,David,WV,1
McMorrisRodgers,Cathy,WA,5
McNerney,Jerry,CA,11
Meehan,Patrick,PA,7
Meeks,Gregory,NY,6
Mica,John,FL,7
Michaud,Michael,ME,2
Miller,R.,NC,13
Miller,Candice,MI,10
Miller,Gary,CA,42
Miller,George,CA,7
Miller,Jeff,FL,1
Moore,Gwen,WI,4
Moran,James,VA,8
Mulvaney,Mick,SC,5
Murphy,Christopher,CT,5
Murphy,Tim,PA,18
Myrick,Sue,NC,9
Nadler,Jerrold,NY,8
Napolitano,Grace,CA,38
Neal,Richard,MA,2
Neugebauer,Randy,TX,19
Noem,Kristi,SD,0
Norton,Eleanor,DC,Delegate
Nugent,Richard,FL,5
Nunes,Devin,CA,21
Nunnelee,Alan,MS,1
Olson,Pete,TX,22
Olver,John,MA,1
Owens,William,NY,23
Palazzo,Steven,MS,4
Pallone,Frank,NJ,6
Pascrell,Bill,NJ,8
Pastor,Ed,AZ,4
Paul,Ronald,TX,14
Paulsen,Erik,MN,3
Payne,Donald,NJ,10
Pearce,Stevan,NM,2
Pelosi,Nancy,CA,8
Pence,Mike,IN,6
Perlmutter,Ed,CO,7
Peters,Gary,MI,9
Peterson,Collin,MN,7
Petri,Thomas,WI,6
Pierluisi,Pedro,PR,Resident Commissioner
Pingree,Chellie,ME,1
Pitts,Joseph,PA,16
Platts,Todd,PA,19
Poe,Ted,TX,2
Polis,Jared,CO,2
Pompeo,Mike,KS,4
Posey,Bill,FL,15
Price,David,NC,4
Price,Tom,GA,6
Quayle,Ben,AZ,3
Quigley,Mike,IL,5
Rahall,Nick,WV,3
Rangel,Charles,NY,15
Reed,Tom,NY,29
Rehberg,Dennis,MT,0
Reichert,David,WA,8
Renacci,James,OH,16
Reyes,Silvestre,TX,16
Ribble,Reid,WI,8
Richardson,Laura,CA,37
Richmond,Cedric,LA,2
Rigell,Edward,VA,2
Rivera,David,FL,25
Roby,Martha,AL,2
Roe,David,TN,1
Rogers,Harold,KY,5
Rogers,Mike,AL,3
Rogers,Mike,MI,8
Rohrabacher,Dana,CA,46
Rokita,Todd,IN,4
Rooney,Thomas,FL,16
Roskam,Peter,IL,6
Ros-Lehtinen,Ileana,FL,18
Ross,Dennis,FL,12
Ross,Mike,AR,4
Rothman,Steven,NJ,9
Roybal-Allard,Lucille,CA,34
Royce,Edward,CA,40
Runyan,Jon,NJ,3
Ruppersberger,C.,MD,2
Rush,Bobby,IL,1
Ryan,Paul,WI,1
Ryan,Tim,OH,17
Sablan,Gregorio,MP,Delegate
Sanchez,Linda,CA,39
Sanchez,Loretta,CA,47
Sarbanes,John,MD,3
Scalise,Steve,LA,1
