L000577,UT,J,Mike_Lee,M,R,2011,1.78081E+14,SenMikeLee,83,73,77,81,77
M000133,MA,J,Edward_J._Markey,M,D,1975,6846731378,MarkeyMemo,98,73,71,66,69
M000303,AZ,S,John_S._McCain,M,R,1983,6425923706,SenJohnMcCain,85,73,72,68,70
M000355,KY,S,Mitch_McConnell,M,R,1985,mitchmcconnell,McConnellPress,92,73,72,68,70
M000639,NJ,S,Robert_Menéndez,M,D,1993,3.49745E+11,SenatorMenendez,95,81,82,73,83
M000702,MD,S,Barbara_A._Mikulski,F,D,1977,1.4289E+14,SenatorBarb,93,78,71,69,73
M000934,KS,J,Jerry_Moran,M,R,1997,1.71579E+11,JerryMoran,88,73,72,70,71
M001111,WA,S,Patty_Murray,F,D,1993,None,PattyMurray,94,73,75,72,73
M001153,AK,S,Lisa_A._Murkowski,F,R,2003,25271170290,LisaMurkowski,71,73,78,76,76
M001169,CT,J,Christopher_S._Murphy,M,D,2007,19437978960,ChrisMurphyCT,96,73,72,71,71
M001170,MO,S,Claire_McCaskill,F,D,2007,1.31498E+11,McCaskillOffice,84,94,76,77,89
M001176,OR,J,Jeff_Merkley,M,D,2009,74374931545,SenJeffMerkley,95,100,79,92,100
M001183,WV,S,Joe_Manchin,M,D,2010,1.01501E+16,Sen_JoeManchin,69,73,75,77,75
N000032,FL,S,Bill_Nelson,M,D,1979,None,SenBillNelson,93,73,73,68,71
P000449,OH,J,Robert_J._Portman,M,R,1993,45243961073,SenRobPortman,90,73,72,69,71
P000595,MI,J,Gary_C._Peters,M,D,2009,88851604323,RepGaryPeters,100,73,70,66,69
P000603,KY,J,Rand_Paul,M,R,2011,1.61355E+14,SenRandPaul,85,73,84,76,80
P000612,GA,J,David_Perdue,M,R,2015,none,sendavidperdue,97,73,70,73,71
R000122,RI,S,John_F._Reed,M,D,1991,2.13866E+14,SenJackReed,94,73,74,69,72
R000146,NV,S,Harry_M._Reid,M,D,1983,3.60249E+14,SenatorReid,87,73,75,67,72
R000307,KS,S,Pat_Roberts,M,R,1981,2.05695E+14,SenPatRoberts,88,73,72,69,71
R000584,ID,J,James_Risch,M,R,2009,None,SenatorRisch,91,73,72,86,76
R000595,FL,J,Marco_Rubio,M,R,2011,1.78911E+14,SenRubioPress,79,73,81,90,82
R000605,SD,J,Mike_Rounds,M,R,2015,none,SenatorRounds,96,73,70,71,70
S000033,VT,J,Bernard_Sanders,M,I,1991,9124187907,SenSanders,86,73,73,71,72
S000148,NY,S,Charles_E._Schumer,M,D,1981,15771239406,SenSchumer,96,84,77,71,81
S000320,AL,S,Richard_C._Shelby,M,R,1979,50850514797,SenShelby,93,73,70,66,69
S000770,MI,S,Debbie_Ann_Stabenow,F,D,1997,None,SenStabenow,96,83,74,74,80
S001141,AL,J,Jefferson_B._Sessions,M,R,1997,23444159584,SenatorSessions,91,73,71,70,71
S001181,NH,S,Jeanne_Shaheen,F,D,2009,1.27504E+14,SenatorShaheen,92,73,81,89,82
S001184,SC,J,Tim_Scott,M,R,2011,1.63208E+14,SenatorTimScott,91,73,71,73,72
S001194,HI,S,Brian_Emanuel_Schatz,M,D,2012,3.57806E+14,SenBrianSchatz,94,73,75,84,77
S001197,NE,J,Benjamin_Eric_Sasse,M,R,2015,none,SenSasse,98,73,71,69,70
S001198,AK,J,Dan_Sullivan,M,R,2015,none,SenDanSullivan,97,73,71,71,71
T000250,SD,S,John_Thune,M,R,1997,None,SenJohnThune,94,73,73,72,72
T000461,PA,J,Patrick_J._Toomey,M,R,1999,1.89274E+14,SenToomey,92,73,73,69,71
T000464,MT,S,Jon_Tester,M,D,2007,2.10573E+11,SenatorTester,87,73,82,82,80
T000476,NC,J,Thom_Tillis,M,R,2015,1.57626E+15,senthomtillis,93,73,71,71,71
U000039,NM,S,Tom_S._Udall,M,D,1999,1.06434E+11,SenatorTomUdall,95,73,74,72,73
V000127,LA,S,David_Vitter,M,R,1999,None,None,89,73,82,74,78
W000437,MS,J,Roger_F._Wicker,M,R,1995,SenatorWicker,SenatorWicker,89,73,72,72,72
W000779,OR,S,Ron_Wyden,M,D,1981,None,RonWyden,95,73,74,69,72
W000802,RI,J,Sheldon_Whitehouse,M,D,2007,1.94173E+14,SenWhitehouse,94,73,79,89,81
W000805,VA,S,Mark_Warner,M,D,2009,7935122852,MarkWarner,87,73,77,79,76
W000817,MA,S,Elizabeth_Warren,F,D,2013,1.31559E+14,SenWarren,96,73,74,87,77
