C001053,OK,4,Tom_Cole,M,R,2003,146497782066300,TomColeOK04,18,58,912,90
C001059,CA,16,Jim_Costa,M,D,2005,RepJimCosta,RepJimCosta,2,45,769,83
C001061,MO,5,Emanuel_Cleaver,M,D,2005,7954512692,RepCleaver,1,46,930,91
C001062,TX,11,K._Michael_Conaway,M,R,2005,203482063021985,ConawayTX11,0,26,965,91
C001063,TX,28,Henry_Cuellar,M,D,2005,152569121550,RepCuellar,3,32,546,87
C001066,FL,14,Kathy_Castor,F,D,2007,181810465190906,USRepKCastor,0,33,871,93
C001067,NY,9,Yvette_D._Clarke,F,D,2007,135031389892682,YvetteClarke,4,39,1353,92
C001068,TN,9,Steve_Cohen,M,D,2007,111456965545421,RepCohen,5,126,2063,94
C001069,CT,2,Joe_Courtney,M,D,2007,330408799230,RepJoeCourtney,3,53,1455,95
C001072,IN,7,André_Carson,M,D,2008,123884330964019,RepAndreCarson,0,53,1291,96
C001076,UT,3,Jason_Chaffetz,M,R,2009,390419731073316,JasonInTheHouse,5,98,820,90
C001077,CO,6,Mike_Coffman,M,R,2009,366142384492,RepMikeCoffman,4,51,961,93
C001078,VA,11,Gerald_E._Connolly,M,D,2009,177164035838,GerryConnolly,3,92,1817,94
C001080,CA,27,Judy_M._Chu,F,D,2009,41228315130,RepJudyChu,1,39,1344,93
C001083,DE,0,John_C._Carney,M,D,2011,156024857781159,JohnCarneyde,1,53,330,89
C001084,RI,1,David_N._Cicilline,M,D,2011,186949061341027,RepCicilline,0,39,1028,94
C001087,AR,1,Eric_A._Crawford,M,R,2011,143344975723788,RepRickCrawford,1,32,477,88
C001090,PA,17,Matthew_A._Cartwright,M,D,2013,248507065275406,RepCartwright,0,68,824,94
C001091,TX,20,Joaquin_Castro,M,D,2013,326420614138023,JoaquinCastrotx,0,10,140,92
C001092,NY,27,Chris_Collins,M,R,2013,467047586692268,RepChrisCollins,0,9,333,94
C001093,GA,9,Doug_Collins,M,R,2013,505646972800006,RepDougCollins,2,21,220,91
C001094,CA,8,Paul_Cook,M,R,2013,464458413604093,RepPaulCook,0,15,296,94
C001096,ND,0,Kevin_Cramer,M,R,2013,498751820147706,RepKevinCramer,1,7,444,89
C001097,CA,29,Tony_Cárdenas,M,D,2013,485493954794945,RepCardenas,0,24,462,89
C001101,MA,5,Katherine_M._Clark,F,D,2013,1408040802774787,RepKClark,0,5,330,91
C001102,FL,19,Curtis_Clawson,M,R,2014,none,RepCurtClawson,0,4,83,92
C001103,GA,1,Buddy_Carter,M,R,2015,none,RepBuddyCarter,0,3,38,96
C001105,VA,10,Barbara_Comstock,F,R,2015,none,RepComstock,0,2,46,93
C001106,PA,6,Ryan_Costello,M,R,2015,none,RepRyanCostello,0,3,50,91
C001107,FL,26,Carlos_Curbelo,M,R,2015,none,RepCurbelo,0,2,51,91
D000096,IL,7,Danny_K._Davis,M,D,1997,280757931935749,RepDannyDavis,3,52,1166,89
D000191,OR,4,Peter_A._DeFazio,M,D,1987,94324364811,RepPeterDeFazio,1,87,1125,91
D000197,CO,1,Diana_L._DeGette,F,D,1997,110757973488,RepDianaDeGette,0,53,908,93
D000216,CT,3,Rosa_L._DeLauro,F,D,1991,181302611907634,RosaDeLauro,3,116,1149,95
D000399,TX,35,Lloyd_A._Doggett,M,D,1995,154050553704,RepLloydDoggett,2,48,776,94
D000482,PA,14,Michael_F._Doyle,M,D,1995,79663724861,USRepMikeDoyle,1,27,845,92
D000533,TN,2,John_J._Duncan,M,R,1988,102385999834718,RepJohnDuncanJr,2,36,961,88
D000598,CA,53,Susan_A._Davis,F,D,2001,103767526332478,RepSusanDavis,5,89,965,96
D000600,FL,25,Mario_Diaz-Balart,M,R,2003,119538428117878,MarioDB,2,16,642,86
D000604,PA,15,Charles_W._Dent,M,R,2005,69862092533,None,0,55,674,88
D000610,FL,21,Theodore_E._Deutch,M,D,2010,112179098816942,RepTedDeutch,0,48,830,93
D000612,CA,10,Jeff_Denham,M,R,2011,133714040028137,RepJeffDenham,2,39,337,92
D000613,IL,10,Bob_Dold,M,R,2011,131680867001,RepDold,0,44,221,82
D000614,WI,7,Sean_P._Duffy,M,R,2011,119657691436457,RepSeanDuffy,2,43,353,90
D000615,SC,3,Jeff_Duncan,M,R,2011,187268144624279,RepJeffDuncan,1,30,775,91
D000616,TN,4,Scott_DesJarlais,M,R,2011,ScottDesJarlaisTN04,DesJarlaisTN04,0,11,423,83
D000617,WA,1,Suzan_K._DelBene,F,D,2012,483962224987343,RepDelBene,0,18,403,92
D000619,IL,13,Rodney_Davis,M,R,2013,323631667743052,RodneyDavis,2,23,422,90
D000620,MD,6,John_K._Delaney,M,D,2013,324527257655694,RepJohnDelaney,1,14,339,90
D000621,FL,6,Ron_DeSantis,M,R,2013,464253846966014,RepDeSantis,2,15,257,94
D000622,IL,8,Tammy_Duckworth,F,D,2013,112300955610529,RepDuckworth,0,8,243,83
D000623,CA,11,Mark_DeSaulnier,M,D,2015,none,RepDeSaulnier,0,1,40,98
D000624,MI,12,Debbie_Dingell,F,D,2015,none,RepDebDingell,0,1,21,100
E000179,NY,16,Eliot_L._Engel,M,D,1989,103355984852,RepEliotEngel,5,95,995,91
E000215,CA,18,Anna_G._Eshoo,F,D,1993,174979964227,RepAnnaEshoo,0,36,1073,94
E000288,MN,5,Keith_Maurice_Ellison,M,D,2007,7997462059,KeithEllison,0,103,1946,90
E000290,MD,4,Donna_F._Edwards,F,D,2008,107297211756,RepDonnaEdwards,1,39,1037,94
E000291,NC,2,Renee_L._Ellmers,F,R,2011,167641493275000,RepReneeEllmers,0,39,590,93
E000293,CT,5,Elizabeth_H._Esty,F,D,2013,292076514228382,RepEsty,1,26,435,92
E000294,MN,6,Tom_Emmer,M,R,2015,none,RepTomEmmer,0,2,41,92
F000030,CA,20,Sam_Farr,M,D,1993,7018136294,RepSamFarr,3,32,1358,93
F000043,PA,2,Chaka_Fattah,M,D,1995,165961823475034,ChakaFattah,1,66,845,94
F000372,NJ,11,Rodney_P._Frelinghuysen,M,R,1995,191509977669708,USRepRodney,4,40,401,90
F000445,VA,4,J._Randy_Forbes,M,R,2001,356330225020,Randy_Forbes,0,58,916,93
F000448,AZ,8,Trent_Franks,M,R,2003,209486545087,RepTrentFranks,1,58,1304,91
F000449,NE,1,Jeff_Lane_Fortenberry,M,R,2005,48426842354,JeffFortenberry,3,73,615,88
F000450,NC,5,Virginia_Foxx,F,R,2005,RepVirginiaFoxx,VirginiaFoxx,19,78,566,93
F000451,PA,8,Michael_G._Fitzpatrick,M,R,2005,132077153521454,RepFitzpatrick,1,74,624,85
F000454,IL,11,Bill_Foster,M,D,2008,102918290599,RepBillFoster,1,37,460,90
F000455,OH,11,Marcia_L._Fudge,F,D,2008,279006440801,RepMarciaFudge,3,63,1174,92
F000456,LA,4,John_Fleming,M,R,2009,372154186772,RepFleming,0,41,786,95
F000458,TN,8,Stephen_Lee_Fincher,M,R,2011,128861763849209,RepFincherTN08,1,35,433,91
F000459,TN,3,Charles_J._Fleischmann,M,R,2011,189998554345168,RepChuck,0,11,323,95
F000460,TX,27,Blake_Farenthold,M,R,2011,186894244673001,Farenthold,2,28,678,95
F000461,TX,17,Bill_Flores,M,R,2011,146176682102245,RepBillFlores,1,26,587,94
F000462,FL,22,Lois_Frankel,F,D,2013,138220153003017,RepLoisFrankel,0,7,357,93
G000289,VA,6,Bob_W._Goodlatte,M,R,1993,6459789414,RepGoodlatte,5,48,691,95
G000377,TX,12,Kay_Granger,F,R,1997,49640749719,RepKayGranger,0,24,541,87
G000410,TX,29,Gene_Eugene_Green,M,D,1993,128735131872,RepGeneGreen,1,95,1118,89
G000535,IL,4,Luis_V._Gutiérrez,M,D,1993,91052833204,LuisGutierrez,0,20,1018,80
G000546,MO,6,Sam_B._Graves,M,R,2001,118514606128,None,1,94,664,89
G000548,NJ,5,Scott_Garrett,M,R,2003,6756553401,RepGarrett,7,82,688,91
G000551,AZ,3,Raúl_M._Grijalva,M,D,2003,73539896233,RepraulGrijalva,4,102,2862,86
G000552,TX,1,Louie_B._Gohmert,M,R,2005,50375006903,RepLouieGohmert,0,46,829,84
G000553,TX,9,Al_Green,M,D,2005,136237609724391,RepAlGreen,7,62,968,94
G000556,FL,9,Alan_Grayson,M,D,2009,None,None,3,135,733,93
G000558,KY,2,Brett_Guthrie,M,R,2009,None,RepGuthrie,5,41,740,94
G000559,CA,3,John_Garamendi,M,D,2009,182567716746,RepGaramendi,1,31,920,89
G000560,GA,14,Tom_Graves,M,R,2010,104548906262119,RepTomGraves,0,12,377,92
G000563,OH,7,Bob_Gibbs,M,R,2011,191159267565100,RepBobGibbs,1,9,459,95
G000564,NY,19,Christopher_P._Gibson,M,R,2011,190238567659779,RepChrisGibson,0,39,557,74
G000565,AZ,4,Paul_A._Gosar,M,R,2011,104329699641957,RepGosar,0,61,608,79
G000566,SC,4,Trey_Gowdy,M,R,2011,143059759084016,TGowdySC,1,12,377,93
G000568,VA,9,H._Morgan_Griffith,M,R,2011,141893975868919,RepMGriffith,0,30,343,90
G000570,NH,1,Frank_Guinta,M,R,2011,None,RepFrankGuinta,0,11,214,92
G000571,HI,2,Tulsi_Gabbard,F,D,2013,392284484191405,TulsiPress,1,14,289,89
G000574,AZ,7,Ruben_Gallego,M,D,2015,none,RepRubenGallego,0,1,26,98
G000575,FL,2,Gwen_Graham,F,D,2015,none,RepGwenGraham,0,4,23,86
G000576,WI,6,Glenn_Grothman,M,R,2015,none,none,0,1,63,90
G000577,LA,6,Garret_Graves,M,R,2015,none,RepGarretGraves,0,0,2,97
H000324,FL,20,Alcee_L._Hastings,M,D,1993,95696782238,RepHastingsFL,20,145,1812,89
H000636,TX,15,Rubén_E._Hinojosa,M,D,1997,402891225161,USRepRHinojosa,4,41,987,82
H000874,MD,5,Steny_H._Hoyer,M,D,1981,282861997886,WhipHoyer,10,39,207,94
H001034,CA,17,Michael_M._Honda,M,D,2001,15675385380,RepMikeHonda,4,111,1992,90
H001036,TX,5,Jeb_Hensarling,M,R,2003,7875604788,RepHensarling,0,35,608,93
H001038,NY,26,Brian_M._Higgins,M,D,2005,88144056440,RepBrianHiggins,1,40,956,92
H001045,MS,3,Gregg_Harper,M,R,2009,48248435938,GreggHarper,1,32,736,93
H001047,CT,4,James_A._Himes,M,D,2009,85767418619,JAHimes,0,41,878,91
H001048,CA,50,Duncan_D._Hunter,M,R,2009,79072979038,Rep_Hunter,2,64,727,93
H001051,NY,22,Richard_L._Hanna,M,R,2011,172284859480630,RepRichardHanna,0,29,716,83
H001052,MD,1,Andy_Harris,M,R,2011,508912729153334,RepAndyHarrisMD,0,21,590,93
H001053,MO,4,Vicky_Hartzler,F,R,2011,183580061667324,RepHartzler,0,12,607,91
H001055,NV,3,Joseph_J._Heck,M,R,2011,155211751194624,RepJoeHeck,2,39,437,90
H001056,WA,3,Jaime_Herrera Beutler,F,R,2011,177551525610164,HerreraBeutler,0,11,278,68
H001057,KS,1,Tim_Huelskamp,M,R,2011,congressmanhuelskamp,CongHuelskamp,0,43,518,88
H001058,MI,2,Bill_Huizenga,M,R,2011,145764842143763,RepHuizenga,1,43,595,94
H001059,IL,14,Randy_Hultgren,M,R,2011,186221644739359,RepHultgren,1,32,548,94
H001060,VA,5,Robert_Hurt,M,R,2011,120068161395562,RepRobertHurt,2,15,272,93
H001063,CA,44,Janice_Hahn,F,D,2011,256471267712118,Rep_JaniceHahn,0,45,638,94
H001064,WA,10,Denny_Heck,M,D,2013,547907568553615,RepDennyHeck,0,9,287,92
H001065,NC,13,George_Holding,M,R,2013,384164668340890,RepHolding,2,9,176,95
H001067,NC,8,Richard_Hudson,M,R,2013,212153802255530,RepRichHudson,2,17,245,93
H001068,CA,2,Jared_Huffman,M,D,2013,200227780116038,RepHuffman,0,18,599,92
H001070,NV,4,Cresent_Hardy,M,R,2015,none,none,0,2,26,92
H001071,GA,10,Jody_Hice,M,R,2015,none,congressmanhice,0,3,27,91
H001072,AR,2,French_Hill,M,R,2015,none,RepFrenchHill,0,0,54,97
H001073,TX,23,Will_Hurd,M,R,2015,none,hurdonthehill,0,2,23,94
I000056,CA,49,Darrell_E._Issa,M,R,2001,19463427992,DarrellIssa,10,109,623,93
I000057,NY,3,Steve_J._Israel,M,D,2001,RepSteveIsrael,RepSteveIsrael,3,161,1318,94
J000032,TX,18,Sheila_Jackson Lee,F,D,1995,169479190984,JacksonLeeTX18,4,222,1727,90
J000126,TX,30,Eddie_Bernice_Johnson,F,D,1993,84096022067,RepEBJ,1,86,1175,92
J000174,TX,3,Sam_Robert_Johnson,M,R,1991,52454091867,SamsPressShop,2,78,695,89
J000255,NC,3,Walter_B._Jones,M,R,1995,15083070102,RepWalterJones,0,97,1881,74
J000288,GA,4,Henry_C._Johnson,M,D,2007,115356957005,RepHankJohnson,4,59,1494,91
J000289,OH,4,Jim_Jordan,M,R,2007,35499336459,Jim_Jordan,1,21,596,92
J000290,KS,2,Lynn_Jenkins,F,R,2009,6974973662,RepLynnJenkins,4,51,902,95
J000292,OH,6,Bill_Johnson,M,R,2011,170477096312258,RepBillJohnson,3,30,900,96
J000294,NY,8,Hakeem_S._Jeffries,M,D,2013,118349138343701,RepJeffries,1,22,271,94
J000295,OH,14,David_P._Joyce,M,R,2013,404318572981934,RepDaveJoyce,0,6,400,90
J000296,FL,13,David_W._Jolly,M,R,2014,712496765463007,USRepDavidJolly,0,15,233,86
J000297,WV,3,Evan_Jenkins,M,R,2015,none,RepEvanJenkins,0,1,21,93
K000009,OH,9,Marcy_Kaptur,F,D,1983,173753129419169,RepMarcyKaptur,2,90,1133,91
K000188,WI,3,Ron_James_Kind,M,D,1997,89152017954,RepRonKind,3,83,914,90
K000210,NY,2,Peter_T._King,M,R,1993,None,RepPeteKing,0,129,1136,87
K000362,IA,4,Steve_A._King,M,R,2003,134325379926458,SteveKingIA,0,62,776,91
K000363,MN,2,John_Paul_Kline,M,R,2003,770135879667732,RepJohnKline,3,35,1001,94
K000368,AZ,1,Ann_Kirkpatrick,F,D,2009,152493768236405,RepKirkpatrick,4,55,540,83
K000375,MA,9,William_R._Keating,M,D,2011,183092598372008,USRepKeating,0,12,614,92
K000376,PA,3,Mike_Kelly,M,R,2011,191056827594903,MikeKellyPA,0,28,613,94
K000378,IL,16,Adam_Kinzinger,M,R,2011,187811174579106,RepKinzinger,1,28,529,92
K000379,MA,4,Joseph_P._Kennedy,M,D,2013,301936109927957,RepJoeKennedy,0,6,297,94
K000380,MI,5,Daniel_T._Kildee,M,D,2013,484166588292670,RepDanKildee,1,13,208,95
K000381,WA,6,Derek_Kilmer,M,D,2013,450819048314124,RepDerekKilmer,1,28,428,92
K000382,NH,2,Ann_M._Kuster,F,D,2013,115543081952049,RepAnnieKuster,1,13,542,92
K000385,IL,2,Robin_Kelly,F,D,2013,150380975141321,RepRobinKelly,0,21,259,95
K000386,NY,24,John_Katko,M,R,2015,none,RepJohnKatko,2,3,33,86
K000387,CA,25,Steve_Knight,M,R,2015,none,SteveKnight25,0,1,11,91
L000263,MI,9,Sander_M._Levin,M,D,1983,223726364320243,RepSandyLevin,6,45,771,96
L000287,GA,5,John_R._Lewis,M,D,1987,82737208404,RepJohnLewis,8,118,1570,84
L000397,CA,19,Zoe_Lofgren,F,D,1995,221191600719,RepZoeLofgren,5,66,1402,89
L000480,NY,17,Nita_M._Lowey,F,D,1989,158290607551599,NitaLowey,1,82,932,96
L000491,OK,3,Frank_D._Lucas,M,R,1993,7872057395,RepFrankLucas,3,17,421,91
L000551,CA,13,Barbara_Lee,F,D,1998,92190287786,RepBarbaraLee,5,192,2245,90
L000554,NJ,2,Frank_A._LoBiondo,M,R,1995,FrankLoBiondo,RepLoBiondo,0,37,845,87
L000557,CT,1,John_B._Larson,M,D,1999,6352928631,RepJohnLarson,0,90,907,93
L000559,RI,2,James_R._Langevin,M,D,2001,6578978441,JimLangevin,0,59,1033,95
L000560,WA,2,Rick_Larsen,M,D,2001,135654683137079,RepRickLarsen,0,48,757,93
L000562,MA,8,Stephen_F._Lynch,M,D,2001,133720816696865,RepStephenLynch,2,44,719,90
L000563,IL,3,Daniel_William_Lipinski,M,D,2005,103286879730089,RepLipinski,6,60,995,88
L000564,CO,5,Doug_Lamborn,M,R,2007,45059452286,RepDLamborn,4,60,1249,92
L000565,IA,2,David_Loebsack,M,D,2007,291731316748,DaveLoebsack,2,50,1389,93
L000566,OH,5,Robert_E._Latta,M,R,2007,100000004848334,BobLatta,8,95,1128,97
L000567,NJ,7,Leonard_Lance,M,R,2009,100830109970339,RepLanceNJ7,1,39,869,92
L000569,MO,3,Blaine_Luetkemeyer,M,R,2009,1358702716,RepBlainePress,2,86,875,96
L000570,NM,3,Ben_Ray_Luján,M,D,2009,112962521120,RepBenRayLujan,3,55,826,96
L000571,WY,0,Cynthia_M._Lummis,F,R,2009,152754318103332,CynthiaLummis,2,48,877,89
L000573,ID,1,Raúl_R._Labrador,M,R,2011,180970951936493,Raul_Labrador,0,18,297,85
L000576,MO,7,Billy_Long,M,R,2011,139631049438354,USRepLong,0,13,729,94
L000578,CA,1,Doug_LaMalfa,M,R,2013,none,RepLaMalfa,1,10,387,94
L000579,CA,47,Alan_S._Lowenthal,M,D,2013,392631677490897,RepLowenthal,0,10,725,95
L000580,NM,1,Michelle_Lujan Grisham,F,D,2013,191640657646128,RepLujanGrisham,0,19,308,90
L000581,MI,14,Brenda_Lawrence,F,D,2015,none,none,0,0,36,94
L000582,CA,33,Ted_Lieu,M,D,2015,none,RepTedLieu,0,1,62,92
L000583,GA,11,Barry_Loudermilk,M,R,2015,none,RepLoudermilk,0,1,35,90
L000584,UT,4,Mia_Love,F,R,2015,none,repmialove,0,0,23,94
M000087,NY,12,Carolyn_B._Maloney,F,D,1993,397176447066236,RepMaloney,8,195,1609,91
M000312,MA,2,James_P._McGovern,M,D,1997,148299805224565,RepMcGovern,27,92,2396,94
M000404,WA,7,Jim_A._McDermott,M,D,1989,246418928093,RepJimMcDermott,5,137,1464,93
M000689,FL,7,John_L._Mica,M,R,1993,JohnMica,None,2,36,473,94
M001137,NY,5,Gregory_W._Meeks,M,D,1997,1557025818,GregoryMeeks,0,32,1243,91
M001143,MN,4,Betty_Louise_McCollum,F,D,2001,153386471383393,BettyMcCollum04,2,34,1523,94
M001144,FL,1,Jeff_Miller,M,R,2001,66367876671,None,8,69,1044,91
M001150,MI,10,Candice_S._Miller,F,R,2003,210401648605,CandiceMiller,2,49,804,92
M001151,PA,18,Tim_Murphy,M,R,2003,105769762798552,RepTimMurphy,1,58,731,87
M001156,NC,10,Patrick_T._McHenry,M,R,2005,8045519803,PatrickMcHenry,2,16,615,93
M001157,TX,10,Michael_T._McCaul,M,R,2005,6355254859,McCaulPressShop,3,50,961,93
M001158,TX,24,Kenny_Ewell_Marchant,M,R,2005,6349487899,RepKenMarchant,0,22,1065,88
M001159,WA,5,Cathy_McMorris Rodgers,F,R,2005,321618789771,CathyMcMorris,4,67,855,92
M001160,WI,4,Gwen_Moore,F,D,2005,58864029545,RepGwenMoore,4,53,1566,91
M001163,CA,6,Doris_O._Matsui,F,D,2005,doris.matsui,DorisMatsui,14,86,1091,96
M001165,CA,23,Kevin_McCarthy,M,R,2007,51052893175,GOPLeader,1,33,290,94
M001166,CA,9,Jerry_McNerney,M,D,2007,215241308510238,RepMcNerney,2,65,865,92
M001177,CA,4,Tom_McClintock,M,R,2009,81125319109,RepMcClintock,2,27,827,90
M001179,PA,10,Tom_Marino,M,R,2011,144408762280226,RepTomMarino,1,38,535,93
M001180,WV,1,David_B._McKinley,M,R,2011,130377260362609,RepMcKinley,2,70,591,93
M001181,PA,7,Patrick_Meehan,M,R,2011,136000283132824,RepMeehan,2,35,436,92
M001182,SC,5,Mick_Mulvaney,M,R,2011,188649667827713,RepMickMulvaney,0,62,592,87
M001184,KY,4,Thomas_Massie,M,R,2012,452480994776070,RepThomasMassie,0,11,218,81
M001185,NY,18,Sean_Patrick_Maloney,M,D,2013,551199354892891,RepSeanMaloney,0,21,333,85
M001187,NC,11,Mark_Meadows,M,R,2013,409882952423501,RepMarkMeadows,1,21,374,93
M001188,NY,6,Grace_Meng,F,D,2013,195734010571362,RepGraceMeng,0,25,383,90
M001189,IN,6,Luke_Messer,M,R,2013,367444640018564,RepLukeMesser,1,15,257,95
M001190,OK,2,Markwayne_Mullin,M,R,2013,453637624684399,RepMullin,1,15,234,93
M001191,FL,18,Patrick_Murphy,M,D,2013,317735028342371,RepMurphyFL,0,28,436,82
M001193,NJ,3,Tom_MacArthur,M,R,2015,none,RepTomMacArthur,0,2,25,93
M001194,MI,4,John_Moolenaar,M,R,2015,none,RepMoolenaar,0,0,25,94
M001195,WV,2,Alex_Mooney,M,R,2015,none,RepAlexMooney,0,3,28,92
M001196,MA,6,Seth_Moulton,M,D,2015,none,none,0,0,11,97
M001197,AZ,2,Martha_McSally,F,R,2015,none,RepMcSally,0,2,26,91
N000002,NY,10,Jerrold_L._Nadler,M,D,1992,78291598977,RepJerryNadler,1,88,1249,93
N000015,MA,1,Richard_E._Neal,M,D,1989,325642654132598,RepRichardNeal,0,44,670,92
N000127,MN,8,Richard_M._Nolan,M,D,1975,388085277945339,USRepRickNolan,0,19,371,91
N000179,CA,32,Grace_F._Napolitano,F,D,1999,163108420409412,GraceNapolitano,1,20,1311,93
N000181,CA,22,Devin_G._Nunes,M,R,2003,None,Rep_DevinNunes,1,46,537,91
