Hillary Clinton,D,91,454
Bernie Sanders,D,65,71
Donald Trump,R,82,0,
Ted Cruz,R,17,0,
Marco Rubio,R,16,0,
John Kasich,R,6,0,
Ben Carson,R,4,0,
