Ernst, Joni (R, Iowa Senate)
Eshoo, Anna (D, California District 18 )
Esty, Elizabeth (D, Connecticut District 5 )
Farenthold, Blake (R, Texas District 27 )
Farr, Sam (D, California District 20 )
Fattah, Chaka (D, Pennsylvania District 2 )
Feinstein, Dianne (D, California Senate)
Fincher, Steve (R, Tennessee District 8 )
Fischer, Deb (R, Nebraska Senate)
Fitzpatrick, Michael G (R, Pennsylvania District 8 )
Flake, Jeff (R, Arizona Senate)
Fleischmann, Chuck (R, Tennessee District 3 )
Fleming, John (R, Louisiana District 4 )
Flores, Bill (R, Texas District 17 )
Forbes, Randy (R, Virginia District 4 )
Fortenberry, Jeff (R, Nebraska District 1 )
Foster, Bill (D, Illinois District 11 )
Foxx, Virginia (R, North Carolina District 5 )
Frankel, Lois J (D, Florida District 22 )
Franken, Al (D, Minnesota Senate)
Franks, Trent (R, Arizona District 8 )
Frelinghuysen, Rodney (R, New Jersey District 11 )
Fudge, Marcia L (D, Ohio District 11 )
Gabbard, Tulsi (D, Hawaii District 2 )
Gallego, Ruben (D, Arizona District 7 )
Garamendi, John (D, California District 3 )
Gardner, Cory (R, Colorado Senate)
Garrett, Scott (R, New Jersey District 5 )
Gibbs, Bob (R, Ohio District 7 )
Gibson, Chris (R, New York District 19 )
Gillibrand, Kirsten (D, New York Senate)
Gohmert, Louis B Jr (R, Texas District 1 )
Goodlatte, Bob (R, Virginia District 6 )
Gosar, Paul (R, Arizona District 4 )
Gowdy, Trey (R, South Carolina District 4 )
Graham, Gwen (D, Florida District 2 )
Graham, Lindsey (R, South Carolina Senate)
Granger, Kay (R, Texas District 12 )
Grassley, Chuck (R, Iowa Senate)
Graves, Garret (R, Louisiana District 6 )
Graves, Sam (R, Missouri District 6 )
Graves, Tom (R, Georgia District 14 )
Grayson, Alan (D, Florida District 9 )
Green, Al (D, Texas District 9 )
Green, Gene (D, Texas District 29 )
Griffith, Morgan (R, Virginia District 9 )
Grijalva, Raul M (D, Arizona District 3 )
Grisham, Michelle Lujan (D, New Mexico District 1 )
Grothman, Glenn S (R, Wisconsin District 6 )
Guinta, Frank (R, New Hampshire District 1 )
Guthrie, Brett (R, Kentucky District 2 )
Gutierrez, Luis V (D, Illinois District 4 )
Hahn, Janice (D, California District 44 )
Hanna, Richard (R, New York District 22 )
Hardy, Cresent (R, Nevada District 4 )
Harper, Gregg (R, Mississippi District 3 )
Harris, Andy (R, Maryland District 1 )
Hartzler, Vicky (R, Missouri District 4 )
Hastings, Alcee L (D, Florida District 20 )
Hatch, Orrin G (R, Utah Senate)
Heck, Dennis (D, Washington District 10 )
Heck, Joe (R, Nevada District 3 )
Heinrich, Martin (D, New Mexico Senate)
Heitkamp, Heidi (D, North Dakota Senate)
Heller, Dean (R, Nevada Senate)
Hensarling, Jeb (R, Texas District 5 )
Herrera Beutler, Jaime (R, Washington District 3 )
Hice, Jody B (R, Georgia District 10 )
Higgins, Brian M (D, New York District 26 )
Hill, French (R, Arkansas District 2 )
Himes, Jim (D, Connecticut District 4 )
Hinojosa, Ruben (D, Texas District 15 )
Hirono, Mazie K (D, Hawaii Senate)
Hoeven, John (R, North Dakota Senate)
Holding, George (R, North Carolina District 13 )
Honda, Mike (D, California District 17 )
Hoyer, Steny H (D, Maryland District 5 )
Hudson, Richard (R, North Carolina District 8 )
Huelskamp, Tim (R, Kansas District 1 )
Huffman, Jared (D, California District 2 )
Huizenga, Bill (R, Michigan District 2 )
Hultgren, Randy (R, Illinois District 14 )
Hunter, Duncan D (R, California District 50 )
Hurd, Will (R, Texas District 23 )
Hurt, Robert (R, Virginia District 5 )
Inhofe, James M (R, Oklahoma Senate)
Isakson, Johnny (R, Georgia Senate)
Israel, Steve (D, New York District 3 )
Issa, Darrell (R, California District 49 )
Jackson Lee, Sheila (D, Texas District 18 )
Jeffries, Hakeem (D, New York District 8 )
Jenkins, Evan (R, West Virginia District 3 )
Jenkins, Lynn (R, Kansas District 2 )
Johnson, Bill (R, Ohio District 6 )
Johnson, Eddie Bernice (D, Texas District 30 )
Johnson, Hank (D, Georgia District 4 )
Johnson, Ron (R, Wisconsin Senate)
Johnson, Sam (R, Texas District 3 )
Jolly, David (R, Florida District 13 )
Jones, Walter B Jr (R, North Carolina District 3 )
Jordan, Jim (R, Ohio District 4 )
Joyce, David P (R, Ohio District 14 )
Kaine, Tim (D, Virginia Senate)
Kaptur, Marcy (D, Ohio District 9 )
Katko, John (R, New York District 24 )
Keating, Bill (D, Massachusetts District 9 )
Kelly, Mike (R, Pennsylvania District 3 )
Kelly, Robin (D, Illinois District 2 )
Kelly, Trent (R, Mississippi District 1 )
Kennedy, Joe III (D, Massachusetts District 4 )
Kildee, Dan (D, Michigan District 5 )
Kilmer, Derek (D, Washington District 6 )
Kind, Ron (D, Wisconsin District 3 )
King, Angus (I, Maine Senate)
King, Pete (R, New York District 2 )
King, Steven A (R, Iowa District 4 )
Kinzinger, Adam (R, Illinois District 16 )
Kirk, Mark (R, Illinois Senate)
Kirkpatrick, Ann (D, Arizona District 1 )
Kline, John (R, Minnesota District 2 )
Klobuchar, Amy (D, Minnesota Senate)
Knight, Steve (R, California District 25 )
Kuster, Ann Mclane (D, New Hampshire District 2 )
Labrador, Raul (R, Idaho District 1 )
LaMalfa, Doug (R, California District 1 )
Lamborn, Douglas L (R, Colorado District 5 )
Lance, Leonard (R, New Jersey District 7 )
Langevin, Jim (D, Rhode Island District 2 )
Lankford, James (R, Oklahoma Senate)
Larsen, Rick (D, Washington District 2 )
Larson, John B (D, Connecticut District 1 )
Latta, Robert E (R, Ohio District 5 )
Lawrence, Brenda (D, Michigan District 14 )
Leahy, Patrick (D, Vermont Senate)
Lee, Barbara (D, California District 13 )
Lee, Mike (R, Utah Senate)
Levin, Sander (D, Michigan District 9 )
Lewis, John (D, Georgia District 5 )
Lieu, Ted (D, California District 33 )
Lipinski, Daniel (D, Illinois District 3 )
LoBiondo, Frank A (R, New Jersey District 2 )
Loebsack, David (D, Iowa District 2 )
Lofgren, Zoe (D, California District 19 )
Long, Billy (R, Missouri District 7 )
Loudermilk, Barry (R, Georgia District 11 )
Love, Mia (R, Utah District 4 )
Lowenthal, Alan (D, California District 47 )
Lowey, Nita M (D, New York District 17 )
Lucas, Frank D (R, Oklahoma District 3 )
Luetkemeyer, Blaine (R, Missouri District 3 )
Lujan, Ben R (D, New Mexico District 3 )
Lummis, Cynthia Marie (R, Wyoming District 1 )
Lynch, Stephen F (D, Massachusetts District 8 )
MacArthur, Thomas (R, New Jersey District 3 )
Maloney, Carolyn B (D, New York District 12 )
Maloney, Sean Patrick (D, New York District 18 )
Manchin, Joe (D, West Virginia Senate)
Marchant, Kenny (R, Texas District 24 )
Marino, Tom (R, Pennsylvania District 10 )
Markey, Ed (D, Massachusetts Senate)
Massie, Thomas (R, Kentucky District 4 )
Matsui, Doris O (D, California District 6 )
McCain, John (R, Arizona Senate)
McCarthy, Kevin (R, California District 23 )
McCaskill, Claire (D, Missouri Senate)
McCaul, Michael (R, Texas District 10 )
McClintock, Tom (R, California District 4 )
McCollum, Betty (D, Minnesota District 4 )
McConnell, Mitch (R, Kentucky Senate)
McDermott, Jim (D, Washington District 7 )
McGovern, James P (D, Massachusetts District 2 )
McHenry, Patrick (R, North Carolina District 10 )
McKinley, David (R, West Virginia District 1 )
McMorris Rodgers, Cathy (R, Washington District 5 )
McNerney, Jerry (D, California District 9 )
McSally, Martha (R, Arizona District 2 )
Meadows, Mark R (R, North Carolina District 11 )
Meehan, Patrick (R, Pennsylvania District 7 )
Meeks, Gregory W (D, New York District 5 )
